name,family,chemicalFormula,olfactiveProfile,emotionalResonance,functionalEffect,sourceOrigin,radarIntensity,radarFreshness,radarWarmth,radarSweetness,radarSpiciness,radarEarthiness,molecularWeight,boilingPoint,volatility,intensity,complexity,botanicalSources,extractionMethod,therapeuticProperties
Calone 1951,Aldéhydes Marins,C11H16O2,"marine, aquatique, ozone, melon d'eau","fraîcheur océanique, brise marine, évocation de l'eau","note marine, fraîcheur aqueuse",Synthétique (Pfizer 1966),75,90,10,30,5,5,180,285,45,75,65,,,
Maritima,Aldéhydes Marins,C12H18O2,"marine, algue, iodé, salin","profondeur océanique, marée basse, air salin","note marine authentique, salinité",Synthétique,70,85,15,20,10,25,194,295,40,70,60,,,
Triplal,Aldéhydes Marins,C14H20O,"marine, métallique, vert aquatique","fraîcheur métallique, eau de pluie sur métal","note marine verte, fraîcheur métallique",Synthétique (IFF),80,88,12,25,8,15,204,290,42,80,70,,,
Silicate Note,Minéraux,,"minéral pur, pierre froide, silice","pureté minérale, froideur cristalline","note minérale pure, fraîcheur pierreuse",Accord synthétique,60,75,20,10,5,85,,,50,60,55,,,
Calcaire Olfactif,Minéraux,,"craie, pierre calcaire, sec, poudreux","sécheresse minérale, murs anciens, carrière","note calcaire, sécheresse poudreuse",Accord synthétique,55,60,30,15,5,90,,,45,55,50,,,
Schiste Olfactif,Minéraux,,"pierre noire, ardoise, fumé minéral","profondeur tellurique, roche stratifiée","note de schiste, fumée minérale",Accord synthétique,65,50,40,10,15,95,,,40,65,60,,,
Fer Olfactif,Accords métalliques,,"métallique, sang, fer rouillé, minéral","métal oxydé, sang séché, terre ferrugineuse","note métallique authentique, ferrique",Accord synthétique (1-octen-3-one + géosmine),85,40,35,5,20,90,,,55,85,70,,,
Cuivre Olfactif,Accords métalliques,,"cuivre, métallique doux, légèrement sucré","métal chaud, pièces de monnaie, ustensiles anciens","note cuivrée, métallique douce",Accord synthétique,70,45,50,20,15,75,,,50,70,65,,,
Bronze Note,Accords métalliques,,"métallique noble, légèrement résineux, patiné","métal ancien, cloches, statues patinées","note de bronze, métallique noble",Accord synthétique,65,50,55,25,10,80,,,45,65,68,,,
Guaiacol Fumé,Phénols fumés,C7H8O2,"fumé intense, bacon, bois brûlé, phénolique","fumée de bois, bacon grillé, feu de camp","note fumée authentique, phénolique","Distillation de bois (hêtre, chêne)",90,10,85,15,60,70,124,205,65,90,75,Hêtre Chêne,Distillation pyrogénée,
Crésol Fumé,Phénols fumés,C7H8O,"phénolique, goudron, fumée médicinale","désinfectant ancien, fumée médicinale, goudron","note phénolique forte, fumée médicinale",Distillation de goudron de houille,95,5,80,10,70,75,108,202,68,95,70,,,
Phénol Pyrogéné Doux,Phénols fumés,C8H10O2,"fumé doux, vanillé, bois brûlé sucré","fumée douce, vanille fumée, bois caramélisé","note fumée douce, vanillée",Pyrolyse contrôlée de bois,75,15,80,50,40,60,138,210,62,75,72,,,
Linalol Synthétique,Terpènes floraux,C10H18O,"floral doux, lavande, coriandre, légèrement citronné","douceur florale, relaxation, fraîcheur délicate","note florale douce, relaxante","Synthétique (ou lavande, bois de rose)",70,75,40,65,20,15,154,198,70,70,60,"Lavande, Bois de rose",Hydrodistillation,"Relaxant, Apaisant"
Géraniol Pur,Terpènes floraux,C10H18O,"rose, géranium, floral puissant, légèrement citronné","rose fraîche, jardin fleuri, douceur florale","note de rose, florale puissante","Géranium, palmarosa, citronnelle",85,70,45,75,15,10,154,230,60,85,65,"Géranium, Palmarosa",Hydrodistillation,"Antibactérien, Tonique"
Nérol,Terpènes floraux,C10H18O,"rose douce, floral délicat, légèrement vert","rose tendre, pétales frais, douceur verte","note de rose douce, florale délicate","Néroli, rose, citronnelle",75,75,40,70,10,12,154,225,62,75,63,"Néroli, Rose",Hydrodistillation,"Apaisant, Harmonisant"
Carvone L,Cétones terpéniques,C10H14O,"menthe verte, carvi, herbacé frais","fraîcheur mentholée douce, herbes aromatiques","note mentholée douce, herbacée","Menthe verte, carvi",80,85,25,40,35,20,150,231,60,80,68,"Menthe verte, Carvi",Hydrodistillation,"Digestif, Rafraîchissant"
Menthone,Cétones terpéniques,C10H18O,"menthe, frais, légèrement camphré","fraîcheur mentholée, clarté, vivacité","note mentholée, rafraîchissante","Menthe poivrée, menthe des champs",85,90,20,30,40,15,154,209,65,85,65,"Menthe poivrée, Menthe des champs",Hydrodistillation,"Rafraîchissant, Stimulant"
Pinocamphone,Cétones terpéniques,C10H16O,"camphré, herbacé, légèrement amer","fraîcheur camphrée, herbes sauvages","note camphrée, herbacée amère","Hysope, sauge",75,80,30,20,45,35,152,215,63,75,70,"Hysope, Sauge",Hydrodistillation,"Expectorant, Tonique"
Acétate de Linalyle,Esters terpéniques,C12H20O2,"floral fruité, bergamote, lavande douce","douceur fruitée florale, relaxation, élégance","note florale fruitée, apaisante","Lavande, bergamote, sauge sclarée",70,80,35,70,15,10,196,220,65,70,62,"Lavande, Bergamote, Sauge sclarée",Hydrodistillation,"Relaxant, Sédatif"
Acétate de Géranyle,Esters terpéniques,C12H20O2,"floral fruité, rose verte, pomme","fraîcheur florale fruitée, jardin après la pluie","note de rose fruitée, fraîche","Géranium, palmarosa, citronnelle",75,85,30,75,10,8,196,242,58,75,65,"Géranium, Palmarosa",Hydrodistillation,"Harmonisant, Équilibrant"
Acétate de Bornyle,Esters terpéniques,C12H20O2,"conifère, pin, balsamique frais","forêt de pins, air pur, fraîcheur résineuse","note de conifère, balsamique fraîche","Pin, sapin, épicéa",70,75,45,50,20,40,196,227,60,70,68,"Pin, Sapin, Épicéa",Hydrodistillation,"Respiratoire, Tonique"
Alpha-Ionone,Ionone,C13H20O,"violette, floral boisé, légèrement fruité","douceur florale poudrée, nostalgie, élégance","note de violette, florale poudrée",Synthétique (dégradation de caroténoïdes),75,60,50,70,10,25,192,243,55,75,72,,,
Méthyl Ionone Gamma,Ionone,C14H22O,"iris, violette poudrée, boisé doux","poudre d'iris, élégance raffinée, douceur talquée","note d'iris, poudrée élégante",Synthétique,80,55,55,75,8,30,206,258,50,80,75,,,
