id;territoire;faits_verifies;precedent_verifie;precedents_a_corroborrer;hypothese_perfumum_statut_C;voie_sure_initiale;decision
T01;Mémoire différée des matériaux;Sorption et désorption de COV par matériaux intérieurs;Cadre Smell of heritage;Tolaas RE_ et Anicka Yi à vérifier séparément;Une fiche matière-trace-condition rend mieux compte qu’un seul descripteur;Modélisation documentaire des relations matière-trace;Recherche documentaire et modélisation
T03;Enclosure comme temps atmosphérique;Contenants et vitrines modifient les échanges atmosphériques;Hans Haacke Condensation Cube MACBA;Hicham Berrada Mesk-ellil à vérifier séparément;Déclarer le régime d’échanges permet de décrire le contenant comme chronotope matériel;Étude documentaire de vitrines et visualisation de microclimats;Recherche documentaire et modélisation
T07;Indice signal leurre lecteur;Les émissions végétales ont des interprétations relationnelles et contextuelles;Aucun précédent retenu;Tolaas et Resurrecting the Sublime à vérifier séparément;Un modèle relationnel réduit les formulations anthropomorphiques;Corpus et graphe espèce-molécule-contexte;Recherche documentaire et modélisation
T09;Fumée archive de transformation;Photo-oxydation et mélange transforment COV et aérosols;Aucun précédent retenu;Parmiggiani et Leccia à vérifier séparément;Les données illustrent que source et atmosphère ne sont pas séparables;Jeux de données et visualisations seulement;Partenariat habilité requis pour toute étape matérielle
T11;Soustraction perceptive;Adaptation sélective et émergence de composants sont documentées;Maki Ueda Tangible Scents;Tolaas RE_________ à vérifier séparément;L’histoire d’exposition doit accompagner tout descripteur de mélange;Analyse critique de protocoles publiés;Gouvernance éthique requise pour tout test humain
T12;Intermittence turbulence apparition;Les paysages odorants turbulents sont discontinus;Anicka Yi In Love With The World Tate;Tolaas Turbulence à vérifier séparément;Les cartes de présence et d’absence sont plus fidèles que les moyennes;Simulation et visualisation de champs non homogènes;Recherche documentaire et modélisation
T13;Droit de décrire les atmosphères;Loi française 2021 et documentation de pollution artistique;Michael Pinsky Pollution Pods;Forensic Architecture Cloud Studies à vérifier séparément;Séparer récit mesure contexte et droit de réponse dans les registres;Étude de gouvernance de journaux d’odeurs;Co-conception et confidentialité requises
T15;Sol poreux et micro-événement de pluie;L’impact de pluie sur sol poreux peut générer des aérosols;Aucun précédent retenu;Anicka Yi Message from the Mud à vérifier séparément;Un atlas de paramètres vaut mieux qu’une reconstitution de l’odeur de pluie;Imagerie données publiées et simulation;Partenariat habilité requis pour toute étape matérielle
T16;Géosmine odeur-relation;La géosmine a des fonctions écologiques dépendantes du contexte;Aucun précédent retenu;Maki Ueda et Sissel Tolaas à vérifier séparément;Indexation par source milieu et relation plutôt que signe universel;Généalogie documentaire et critique des usages;Recherche documentaire et modélisation
T17;Archive double entrée;Méthodes patrimoniales articulent signification analyse sensorielle chimique et archivage;Odeuropa;Osmothèque et Tolaas à vérifier séparément;Paire preuve matérielle-récit de provenance avec statut d’incertitude;Prototype de schéma de métadonnées;Recherche documentaire et modélisation
