reference_id,title,authors,year,venue,doi,url,tags,notes
can-2025-nat-pangenome,Domesticated cannabinoid synthases amid a wild mosaic cannabis pangenome,"Lynch, R.C. and Padgitt-Cobb, L.K. and Garfinkel, A.R. and others",2025,Nature,10.1038/s41586-025-09065-0,https://www.nature.com/articles/s41586-025-09065-0,cannabis; pangenome; structural-variation; cannabinoid-synthase; domestication,Référence pivot pangenome + mosaïque sauvage/domestiqué; base pour un module 'pangenome explorer'.
can-2025-g3-triobin,Trio-binning approach for genome assembly reveals extensive structural variation between two Cannabis cultivars: Punto Rojo and Cherry Pie,"Pike, J. and others",2025,G3 Genes|Genomes|Genetics,10.1093/g3journal/jkaf286,https://academic.oup.com/g3journal/advance-article/doi/10.1093/g3journal/jkaf286/8407317,cannabis; haplotype-resolved; structural-variation; colombia; punto-rojo,Inclut un landrace colombien (Punto Rojo) — utile pour un axe 'variétés fantômes / provenance'.
can-2021-nph-cbdrx,A new Cannabis genome assembly associates elevated cannabidiol (CBD) with hemp introgressed into marijuana,"Grassa, C.J. and Wenger, J.P. and Dabney, C. and others",2021,New Phytologist,10.1111/nph.17243,https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/nph.17243,cannabis; reference-genome; CBDRx; introgression; QTL,Cs10/CBDRx = référence majeure; excellent pour un module 'CBD/THC locus & introgression'.
can-2015-nph-dupdiv,Gene duplication and divergence affecting drug content in Cannabis sativa,"Weiblen, G.D. and Wenger, J.P. and Craft, K.J. and others",2015,New Phytologist,10.1111/nph.13562,https://pubmed.ncbi.nlm.nih.gov/26189495/,cannabis; gene-duplication; cannabinoid-synthase; evolution,Classique sur duplications/ divergence des gènes liés au contenu cannabinoïde.
can-2020-plphys-tps,Terpene Synthases and Terpene Variation in Cannabis sativa,"Booth, J.K. and Yuen, M.M.S. and Jancsik, S. and others",2020,Plant Physiology,10.1104/pp.20.00593,https://pubmed.ncbi.nlm.nih.gov/32591428/,cannabis; terpene-synthase; TPS; chemotype; aroma,Pont direct 'génomique ↔ profil aromatique'; parfait pour l'axe 'olfaction'.
can-2023-natplants-parallel,Parallel evolution of cannabinoid biosynthesis,"Berman, P. and de Haro, L.A. and Jozwiak, A. and others",2023,Nature Plants,10.1038/s41477-023-01402-3,https://www.nature.com/articles/s41477-023-01402-3,cannabis; convergent-evolution; cannabinoids; pathway-evolution,Ouvre la porte à une 'phylogénie olfactive' comparant voies biosynthétiques entre espèces.
can-2021-sciadv-domestication,Large-scale whole-genome resequencing unravels the domestication history of Cannabis sativa,(voir article),2021,Science Advances,10.1126/sciadv.abg2286,https://www.science.org/doi/10.1126/sciadv.abg2286,cannabis; domestication; population-genomics; diversity,Cadre macro sur domestication + diversité mondiale; utile pour cartes interactives.
can-2024-scidata-pinkpepper,Chromosome-level Haploid Assembly of Cannabis sativa L. cv. Pink Pepper,"Ryu, B.-R. and Gim, G.-J. and Shin, Y.-R. and others",2024,Scientific Data,10.1038/s41597-024-04288-8,https://pmc.ncbi.nlm.nih.gov/articles/PMC11682139/,cannabis; genome-assembly; haploid; CBD-rich; resource,Assemblage haute qualité; bon 'dataset anchor' + annotations.
can-2024-copbiotrichomes,Building a biofactory: Constructing glandular trichomes in Cannabis sativa,"Hancock, J. and Livingston, S.J. and Samuels, L.",2024,Current Opinion in Plant Biology,10.1016/j.pbi.2024.102549,https://www.sciencedirect.com/science/article/pii/S1369526624000402,cannabis; trichomes; cell-biology; metabolomics; synthetic-biology,Angle 'biofactory' (cellulaire) pour modules VR/3D des trichomes.
can-2019-scirep-atlas,Generation of a Comprehensive Transcriptome Atlas and Transcriptome Dynamics in Cannabis,(voir article),2019,Scientific Reports,10.1038/s41598-019-53023-6,https://www.nature.com/articles/s41598-019-53023-6,cannabis; transcriptome; atlas; trichome,Très utile pour un module 'expression atlas' côté site.
can-2024-bmcplbiol-epigen,Characterization of the Cannabis sativa glandular trichome epigenome and transcriptome reveals epigenomic regulation of specialized metabolism,(voir article),2024,BMC Plant Biology,10.1186/s12870-024-05787-x,https://link.springer.com/article/10.1186/s12870-024-05787-x,cannabis; epigenomics; trichome; specialized-metabolism,Axe niche très fort: 'épigénome ↔ rendement des métabolites'.
can-2024-bmcgen-hempmari,Population genomics of a natural Cannabis sativa collection from marijuana and hemp shows signature of distinct breeding strategies,(voir article),2025,BMC Genomics,10.1186/s12864-025-11015-y,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-025-11015-y,cannabis; population-genomics; breeding; hemp; marijuana,Bon pour un module 'signature de sélection' + visualisation PCA.
can-2021-frontiers-govprod,Genomic Evidence That Governmentally Produced Cannabis sativa Plants Distinctly Differ from Wild/Local Accessions,(voir article),2021,Frontiers in Plant Science,10.3389/fpls.2021.668315,https://www.frontiersin.org/journals/plant-science/articles/10.3389/fpls.2021.668315/full,cannabis; provenance; forensics; population-genomics,Approche 'forensic/provenance' utile pour 'diplomatie olfactive' / traçabilité.
can-2024-gen-taxonomy,Genomics-based taxonomy to clarify cannabis classification,(voir article),2024,Genetics (Canadian Science Publishing),10.1139/gen-2023-0005,https://cdnsciencepub.com/doi/10.1139/gen-2023-0005,cannabis; taxonomy; genomics; classification,Important pour structurer ton référentiel 'variétés / espèces / sous-espèces' sur le site.
tob-2025-natgen-genebank,The genome and GeneBank genomics of allotetraploid Nicotiana tabacum provide insights into genome evolution and complex trait regulation,"Zan, Y. and Chen, S. and Ren, M. and others",2025,Nature Genetics,10.1038/s41588-025-02126-0,https://www.nature.com/articles/s41588-025-02126-0,tobacco; nicotiana-tabacum; genebank; GWAS; polyploidy,Référence clé: génome + GWAS + carte génotype-phénotype.
tob-2024-scidata-assemblies,"Chromosome-level genome assemblies of Nicotiana tabacum, Nicotiana sylvestris, and Nicotiana tomentosiformis","Sierro, N. and Auberson, M. and Dulize, R. and others",2024,Scientific Data,10.1038/s41597-024-02965-2,https://www.nature.com/articles/s41597-024-02965-2,tobacco; nicotiana-tabacum; progenitors; genome-assembly; resource,Assemblies + progeniteurs = parfait pour modules 'subgenomes' + synteny.
tob-2024-molp-defense,High-quality assembled and annotated genomes of Nicotiana tabacum and Nicotiana benthamiana reveal chromosome evolution and changes in defense arsenals,"Wang, J. and Zhang, Q. and Tung, J. and others",2024,Molecular Plant,10.1016/j.molp.2024.01.008,https://www.cell.com/molecular-plant/fulltext/S1674-2052(24)00008-X,tobacco; nicotiana; genome-assembly; annotation; defense,Pour lier génomique ↔ immunité ↔ stress (utile à l'axe 'dérive olfactive' / climat).
tob-2017-pnas-wildgenomes,Wild tobacco genomes reveal the evolution of nicotine biosynthesis,"Xu, S. and Brockmöller, T. and Navarro-Quezada, A. and others",2017,PNAS,10.1073/pnas.1700073114,https://www.pnas.org/doi/10.1073/pnas.1700073114,tobacco; wild-nicotiana; evolution; nicotine-biosynthesis; comparative-genomics,Fondation pour 'évolution de la voie nicotine' + comparaison inter-espèces.
