plant_latin_name,plant_common_name,molecule_name,percentage_typical,role,is_signature,evidence,notes
Lavandula angustifolia,Lavande vraie,linalool,35,majeur,1,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Lavande vraie
Lavandula angustifolia,Lavande vraie,linalyl acetate,30,majeur,1,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Lavande vraie
Lavandula angustifolia,Lavande vraie,lavandulyl acetate,4,secondaire,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Lavande vraie
Lavandula angustifolia,Lavande vraie,terpinen-4-ol,3,secondaire,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Lavande vraie
Lavandula angustifolia,Lavande vraie,beta-caryophyllene,2.5,secondaire,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Lavande vraie
Lavandula angustifolia,Lavande vraie,"1,8-cineole",1.5,trace,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Lavande vraie
Lavandula angustifolia,Lavande vraie,camphor,0.5,trace,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Lavande vraie
Lavandula angustifolia,Lavande vraie,borneol,1,trace,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Lavande vraie
Mentha x piperita,Menthe poivrée,menthol,42,majeur,1,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Menthe poivrée
Mentha x piperita,Menthe poivrée,menthone,22,majeur,1,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Menthe poivrée
Mentha x piperita,Menthe poivrée,menthyl acetate,5,secondaire,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Menthe poivrée
Mentha x piperita,Menthe poivrée,"1,8-cineole",5,secondaire,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Menthe poivrée
Mentha x piperita,Menthe poivrée,isomenthone,4,secondaire,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Menthe poivrée
Mentha x piperita,Menthe poivrée,limonene,2.5,trace,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Menthe poivrée
Mentha x piperita,Menthe poivrée,pulegone,1,trace,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Menthe poivrée
Eucalyptus globulus,Eucalyptus globuleux,"1,8-cineole",75,majeur,1,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Eucalyptus globuleux
Eucalyptus globulus,Eucalyptus globuleux,alpha-pinene,10,majeur,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Eucalyptus globuleux
Eucalyptus globulus,Eucalyptus globuleux,limonene,5,secondaire,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Eucalyptus globuleux
Eucalyptus globulus,Eucalyptus globuleux,globulol,2,secondaire,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Eucalyptus globuleux
Eucalyptus globulus,Eucalyptus globuleux,aromadendrene,1.5,trace,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Eucalyptus globuleux
Rosmarinus officinalis,Romarin,"1,8-cineole",45,majeur,1,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Romarin
Rosmarinus officinalis,Romarin,camphor,15,majeur,1,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Romarin
Rosmarinus officinalis,Romarin,alpha-pinene,12,majeur,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Romarin
Rosmarinus officinalis,Romarin,borneol,5,secondaire,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Romarin
Rosmarinus officinalis,Romarin,verbenone,3,secondaire,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Romarin
Rosmarinus officinalis,Romarin,camphene,4,secondaire,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Romarin
Rosmarinus officinalis,Romarin,beta-pinene,2,trace,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Romarin
Citrus limon,Citron,limonene,68,majeur,1,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Citron
Citrus limon,Citron,beta-pinene,12,majeur,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Citron
Citrus limon,Citron,gamma-terpinene,8,secondaire,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Citron
Citrus limon,Citron,citral,3,secondaire,1,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Citron
Citrus limon,Citron,geranial,1.5,trace,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Citron
Citrus limon,Citron,neral,1,trace,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Citron
Citrus limon,Citron,alpha-pinene,2,trace,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Citron
Citrus sinensis,Orange douce,limonene,95,majeur,1,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Orange douce
Citrus sinensis,Orange douce,myrcene,2,trace,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Orange douce
Citrus sinensis,Orange douce,linalool,0.5,trace,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Orange douce
Citrus sinensis,Orange douce,alpha-pinene,0.5,trace,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Orange douce
Citrus sinensis,Orange douce,decanal,0.3,trace,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Orange douce
Citrus bergamia,Bergamote,limonene,40,majeur,1,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Bergamote
Citrus bergamia,Bergamote,linalyl acetate,30,majeur,1,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Bergamote
Citrus bergamia,Bergamote,linalool,12,majeur,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Bergamote
Citrus bergamia,Bergamote,gamma-terpinene,7,secondaire,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Bergamote
Citrus bergamia,Bergamote,beta-pinene,6,secondaire,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Bergamote
Citrus bergamia,Bergamote,bergaptene,0.3,trace,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Bergamote
Cananga odorata,Ylang-ylang,linalool,15,majeur,1,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Ylang-ylang
Cananga odorata,Ylang-ylang,germacrene D,18,majeur,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Ylang-ylang
Cananga odorata,Ylang-ylang,beta-caryophyllene,12,majeur,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Ylang-ylang
Cananga odorata,Ylang-ylang,benzyl acetate,10,secondaire,1,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Ylang-ylang
Cananga odorata,Ylang-ylang,methyl benzoate,6,secondaire,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Ylang-ylang
Cananga odorata,Ylang-ylang,benzyl benzoate,5,secondaire,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Ylang-ylang
Cananga odorata,Ylang-ylang,geranyl acetate,4,secondaire,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Ylang-ylang
Cananga odorata,Ylang-ylang,farnesene,3,trace,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Ylang-ylang
Rosa damascena,Rose de Damas,citronellol,35,majeur,1,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Rose de Damas
Rosa damascena,Rose de Damas,geraniol,18,majeur,1,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Rose de Damas
Rosa damascena,Rose de Damas,nerol,8,secondaire,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Rose de Damas
Rosa damascena,Rose de Damas,linalool,3,secondaire,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Rose de Damas
Rosa damascena,Rose de Damas,rose oxide,0.5,trace,1,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Rose de Damas
Rosa damascena,Rose de Damas,damascenone,0.01,trace,1,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Rose de Damas
Rosa damascena,Rose de Damas,phenylethyl alcohol,2,trace,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Rose de Damas
Jasminum grandiflorum,Jasmin grandiflorum,benzyl acetate,25,majeur,1,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Jasmin grandiflorum
Jasminum grandiflorum,Jasmin grandiflorum,linalool,8,secondaire,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Jasmin grandiflorum
Jasminum grandiflorum,Jasmin grandiflorum,benzyl benzoate,15,majeur,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Jasmin grandiflorum
Jasminum grandiflorum,Jasmin grandiflorum,methyl anthranilate,3,secondaire,1,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Jasmin grandiflorum
Jasminum grandiflorum,Jasmin grandiflorum,indole,2.5,secondaire,1,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Jasmin grandiflorum
Jasminum grandiflorum,Jasmin grandiflorum,jasmone,3,secondaire,1,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Jasmin grandiflorum
Jasminum grandiflorum,Jasmin grandiflorum,phytol,8,secondaire,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Jasmin grandiflorum
Chrysopogon zizanioides,Vétiver,khusimol,15,majeur,1,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Vétiver
Chrysopogon zizanioides,Vétiver,vetiverol,10,majeur,1,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Vétiver
Chrysopogon zizanioides,Vétiver,isovalencenol,8,secondaire,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Vétiver
Chrysopogon zizanioides,Vétiver,khusimone,5,secondaire,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Vétiver
Chrysopogon zizanioides,Vétiver,vetivone,6,secondaire,1,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Vétiver
Chrysopogon zizanioides,Vétiver,beta-vetivone,4,secondaire,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Vétiver
Pogostemon cablin,Patchouli,patchoulol,35,majeur,1,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Patchouli
Pogostemon cablin,Patchouli,alpha-bulnesene,15,majeur,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Patchouli
Pogostemon cablin,Patchouli,alpha-guaiene,12,majeur,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Patchouli
Pogostemon cablin,Patchouli,seychellene,8,secondaire,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Patchouli
Pogostemon cablin,Patchouli,pogostol,3,secondaire,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Patchouli
Pogostemon cablin,Patchouli,norpatchoulenol,1,trace,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Patchouli
Santalum album,Santal blanc,alpha-santalol,50,majeur,1,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Santal blanc
Santalum album,Santal blanc,beta-santalol,20,majeur,1,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Santal blanc
Santalum album,Santal blanc,alpha-santalene,6,secondaire,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Santal blanc
Santalum album,Santal blanc,beta-santalene,3,secondaire,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Santal blanc
Santalum album,Santal blanc,santalene,2,trace,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Santal blanc
Cedrus atlantica,Cèdre de l'Atlas,alpha-himachalene,15,majeur,1,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Cèdre de l'Atlas
Cedrus atlantica,Cèdre de l'Atlas,beta-himachalene,40,majeur,1,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Cèdre de l'Atlas
Cedrus atlantica,Cèdre de l'Atlas,gamma-himachalene,10,secondaire,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Cèdre de l'Atlas
Cedrus atlantica,Cèdre de l'Atlas,atlantone,5,secondaire,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Cèdre de l'Atlas
Cedrus atlantica,Cèdre de l'Atlas,cedrol,3,trace,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Cèdre de l'Atlas
Boswellia sacra,Encens oliban,alpha-pinene,45,majeur,1,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Encens oliban
Boswellia sacra,Encens oliban,limonene,8,secondaire,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Encens oliban
Boswellia sacra,Encens oliban,myrcene,5,secondaire,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Encens oliban
Boswellia sacra,Encens oliban,incensole,3,secondaire,1,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Encens oliban
Boswellia sacra,Encens oliban,incensole acetate,2,trace,1,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Encens oliban
Boswellia sacra,Encens oliban,octyl acetate,4,secondaire,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Encens oliban
Commiphora myrrha,Myrrhe,"furanoeudesma-1,3-diene",25,majeur,1,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Myrrhe
Commiphora myrrha,Myrrhe,curzerene,15,majeur,1,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Myrrhe
Commiphora myrrha,Myrrhe,lindestrene,10,secondaire,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Myrrhe
Commiphora myrrha,Myrrhe,beta-elemene,5,secondaire,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Myrrhe
Commiphora myrrha,Myrrhe,germacrene D,3,trace,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Myrrhe
Zingiber officinale,Gingembre,zingiberene,30,majeur,1,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Gingembre
