name,gamme,prototype,description,notesTete,notesCoeur,notesFond,radarIntensity,radarFreshness,radarWarmth,radarSweetness,radarSpiciness,radarEarthiness,formulation,protocol,inspirationSource
BRUME MARINE MÉTALLIQUE,Pétrichor,C1 - AQUA MINERALIS,"Évocation d'une brume marine sur rochers ferreux, alliance de fraîcheur océanique et de minéralité métallique","Calone 1951, Maritima, Aldéhyde C-12 MNA","Géosmine, Fer Olfactif, Silicate Note","Vétiver, Ambroxan, Cèdre Atlas",75,88,25,20,15,80,"Calone 1951 15%, Maritima 10%, Géosmine 20%, Fer Olfactif 15%, Silicate Note 10%, Vétiver 15%, Ambroxan 10%, Cèdre Atlas 5%","Macération à froid 48h, dilution progressive dans alcool 96°, maturation 2 semaines",Côtes bretonnes après tempête
PIERRE DE LUNE HUMIDE,Pétrichor,C1 - AQUA MINERALIS,"Pierre calcaire après pluie nocturne, douceur minérale et fraîcheur lunaire","Aldéhyde C-10, Triplal, Ozonic accord","Calcaire Olfactif, Iris Pallida, Ambrette","Schiste Olfactif, Muscs blancs, Cèdre blanc",65,75,30,35,10,85,"Aldéhyde C-10 12%, Triplal 8%, Calcaire Olfactif 18%, Iris Pallida 15%, Ambrette 12%, Schiste Olfactif 15%, Muscs blancs 15%, Cèdre blanc 5%","Infusion à froid des notes minérales, ajout progressif des floraux, repos 3 semaines",Carrières de calcaire sous la lune
ORAGE FERREUX,Pétrichor,C1 - AQUA MINERALIS,"Ozone électrique sur terre ferrugineuse, puissance tellurique et fraîcheur orageuse","Ozonic accord, Aldéhyde C-11 undécylénique, Triplal","Géosmine, Fer Olfactif, Cuivre Olfactif","Vétiver Haïti, Patchouli, Oakmoss",85,82,35,15,25,90,"Ozonic accord 15%, Aldéhyde C-11 10%, Géosmine 22%, Fer Olfactif 18%, Cuivre Olfactif 10%, Vétiver Haïti 12%, Patchouli 8%, Oakmoss 5%","Mélange énergique des notes ozonic, macération 72h avec notes métalliques, maturation 4 semaines",Terre rouge après foudre
FUMÉE DE TEMPLE ANCIEN,Volcanique,C2 - PYRO SACRA,"Encens fumé dans temple de pierre noire, spiritualité pyrogénée et profondeur sacrée","Oliban fumé, Guaiacol Fumé, Cardamome","Encens Somalien, Phénol Pyrogéné Doux, Myrrhe","Bronze Note, Cèdre Atlas, Labdanum",90,15,85,40,60,75,"Oliban fumé 15%, Guaiacol Fumé 12%, Encens Somalien 20%, Phénol Pyrogéné Doux 15%, Myrrhe 12%, Bronze Note 10%, Cèdre Atlas 10%, Labdanum 6%","Fumigation à froid des résines, ajout progressif des phénols, macération 6 semaines",Temples bouddhistes du Népal
LAVE BALSAMIQUE,Volcanique,C2 - PYRO SACRA,"Coulée de lave refroidie sur forêt de conifères, chaleur résineuse et minéralité volcanique","Pin sylvestre, Acétate de Bornyle, Ciste","Baume de Tolu, Benjoin Siam, Guaiacol Fumé","Vétiver fumé, Patchouli, Styrax",85,30,90,55,45,70,"Pin sylvestre 12%, Acétate de Bornyle 10%, Baume de Tolu 18%, Benjoin Siam 15%, Guaiacol Fumé 12%, Vétiver fumé 15%, Patchouli 10%, Styrax 8%","Infusion des baumes à 40°C, ajout des notes fumées, repos 5 semaines",Volcans d'Islande
CENDRES SACRÉES,Volcanique,C2 - PYRO SACRA,"Cendres d'encens sur pierre volcanique, pureté pyrogénée et élévation spirituelle","Encens fumé, Crésol Fumé, Cardamome noire","Ciste Labdanum, Phénol Pyrogéné Doux, Iris","Schiste Olfactif, Vétiver, Ambre gris",88,20,88,35,65,80,"Encens fumé 18%, Crésol Fumé 8%, Ciste Labdanum 20%, Phénol Pyrogéné Doux 15%, Iris 10%, Schiste Olfactif 12%, Vétiver 10%, Ambre gris 7%","Macération des résines fumées 48h, ajout progressif des notes minérales, maturation 8 semaines",Rituels de purification japonais
JARDIN DE ROSES PERSANES,Civilisations,C3 - LACTA SOLIS,"Roseraie persane au lever du soleil, opulence florale et douceur orientale","Bergamote, Géraniol Pur, Acétate de Géranyle","Rose de Damas, Rose Centifolia, Nérol","Bois de rose, Muscs, Ambre",80,70,50,85,12,20,"Bergamote 15%, Géraniol Pur 12%, Acétate de Géranyle 10%, Rose de Damas 25%, Rose Centifolia 15%, Nérol 8%, Bois de rose 8%, Muscs 5%, Ambre 2%","Enfleurage à froid des roses, dilution progressive, maturation 6 semaines",Jardins de Chiraz
SOIE ET ÉPICES,Civilisations,C3 - LACTA SOLIS,"Route de la soie, douceur lactée et chaleur épicée orientale","Cardamome, Safran, Bergamote","Lait de figue, Iris, Fleur d'oranger","Santal Mysore, Vanille, Ambre",75,55,65,75,40,25,"Cardamome 10%, Safran 5%, Bergamote 12%, Lait de figue 18%, Iris 15%, Fleur d'oranger 12%, Santal Mysore 15%, Vanille 10%, Ambre 3%","Infusion des épices dans alcool gras, ajout des notes lactées, repos 4 semaines",Caravanes de la route de la soie
BIBLIOTHÈQUE D'ALEXANDRIE,Civilisations,C3 - LACTA SOLIS,"Papyrus ancien et encre, sagesse millénaire et douceur parcheminée","Papyrus accord, Encre accord, Bergamote","Iris Pallida, Violette, Figue","Cèdre Atlas, Santal, Muscs poudrés",70,60,55,65,15,40,"Papyrus accord 15%, Encre accord 10%, Bergamote 10%, Iris Pallida 18%, Violette 12%, Figue 10%, Cèdre Atlas 12%, Santal 8%, Muscs poudrés 5%","Macération des accords papyrus/encre, ajout progressif des floraux, maturation 5 semaines",Bibliothèques antiques
GLACIER DE MENTHE,Glaciaire,C4 - TERRA AMBRA,"Glacier de menthe cristallisée, fraîcheur polaire et pureté mentholée","Menthone, Menthol cristaux, Eucalyptus","Menthe poivrée, Carvone L, Géranium","Vétiver, Cèdre blanc, Ambroxan",85,95,15,25,50,30,"Menthone 18%, Menthol cristaux 10%, Eucalyptus 12%, Menthe poivrée 20%, Carvone L 12%, Géranium 8%, Vétiver 10%, Cèdre blanc 6%, Ambroxan 4%","Dissolution des cristaux de menthol à froid, ajout progressif des terpènes, repos 3 semaines",Glaciers de Patagonie
