variety_name,plant_latin_name,region,type,part_used,olfactive_signature,dominant_molecules,climatic_axis,harvest_period,notes
Ambrette — graine sèche (dormante),Abelmoschus moschatus,Colombie; Burkina Faso,état botanique,graine,"musqué végétal latent, poudré, peau",ambrettolide; farnesol,peau; disparition,Septembre–Novembre,État de référence pour comparer humidité / support.
Ambrette — graine écrasée (activation immédiate),Abelmoschus moschatus,Colombie; Burkina Faso,procédé,graine,"musqué végétal chaud, peau, plus présent",ambrettolide; farnesol; geraniol,peau,Septembre–Novembre,Activation par geste; ne pas chercher la projection.
Ambrette — graine humidifiée (ouverture rapide),Abelmoschus moschatus,Colombie; Burkina Faso,état botanique,graine,"musqué plus floral, fragile, disparition rapide",ambrettolide; linalool (trace),peau; disparition,Septembre–Novembre,Très sensible à l’hygrométrie = variété fantôme perceptive.
Ambrette — extrait (profil plus stable),Abelmoschus moschatus,Global (sourcing),extrait,graine,"musqué propre, plus constant, moins vivant",ambrettolide,peau,variable,"Utile comme base de comparaison, pas comme fin en soi."
Tabac — feuille verte (headspace),Nicotiana tabacum,Colombie,état botanique,feuille,"vert aqueux, amertume, vivant",cis-3-hexenol; hexenal,vent; disparition,variable,Archive du pré-curing; non stabilisable.
Tabac — feuille jaunissante (moment critique),Nicotiana tabacum,Colombie Caraïbe,état botanique,feuille,"foin clair, fruit sec fragile",beta-damascenone (trace); norisoprénoïdes naissants,vent; bois,variable,Fenêtre courte; idéal pour protocole d’observation.
Tabac — air-cured ventilé (circulation),Nicotiana tabacum,Colombie Caraïbe,process,feuille,"foin sec, feuille chaude, bois blond",megastigmatrienone; solanone; neophytadiene,bois; disparition,variable,Base 'architecture du temps' sans fumée.
Tabac — sun-cured sec (seuil domestique),Nicotiana tabacum,Burkina Faso,process,feuille,"sec, terre chaude, amertume",solanone; neophytadiene,bois; disparition,variable,"Fantôme sahélien: arôme rapide, peu de rondeur."
Tabac — réhydraté (65% HR),Nicotiana tabacum,Colombie; Burkina Faso,procédé,feuille,"feuille vivante ralentie, temps suspendu",cis-3-hexenol (retour); norisoprénoïdes,bois; disparition,variable,État fantôme: documenter vitesse d’ouverture/disparition.
Cannabis — écotype ventilé (pinènes),Cannabis sativa,Caraïbes/Colombie,écotype,feuille/fleur,"piné, vert sec, extérieur",alpha-pinene; beta-pinene; terpinolene,vent; disparition,variable,Objectif Absorbe: non identifiable; dissipation rapide.
