Nom,Famille,Molécule clé,Description,Émotion,URL
Hexanoic acid,Organique / Cheese,C6H12O2,"fermentée, laiteuse, charnelle",“matérialité du vivant”,
Linalol,Florale,C10H18O,"doux, lavandé, transparent",“respiration ouverte”,
Ambroxan,Ambrée / Boisée,C16H28O,"chaud, velouté, diffusant",“chaleur du silence”,
,,,,,
,,,,,
Manuel extraction terpènes CBD,,,,,https://chatgpt.com/s/t_691d1a2f8d288191bc98fcaac9644394
Calone,Aquatique / Marine,C11H16O2,"aquatique, maritime, ozone","""air marin""",
Skatole,Organique / Animalière,C9H9N,"fécal, tabac, cuir","""matérialité brute""",
Vetiverol,Boisée / Verte,C15H26O,"racine, fumé, vertical","""ancrage tellurique""",
Cedrol,Boisée / Sèche,C15H26O,"cèdre, sec, enveloppant","""chaleur sèche""",
Iso E Super,Boisée / Ambrée,C16H26O,"boisé, diffusant, halo","""présence discrète""",
Indole,Organique / Animalière,C8H7N,"fécal, floral, animalier","""intimité troublante""",
Coumarin,Florale / Poudrée,C9H6O2,"foin coupé, doux, poudreux","""nostalgie douce""",
β-Damascenone,Florale / Fruitée,C13H18O,"rose, fruité, complexe","""élégance fugace""",
Geosmin,Terreuse / Minérale,C12H22O,"terreux, humide, pétrichor","""mémoire de la pluie""",
α-Pinene,Conifère / Résineuse,C10H16,"pin, résine, forêt","""respiration forestière""",
