key,type,axis_primary,axes_secondary,title,authors,year,container_title,publisher,doi,isbn,url,notes,tags
Drobnick2006SmellCultureReader,book,A1 Smell studies & critical theory,B1 Olfactory art; C1 Olfactory heritage,The Smell Culture Reader,Jim Drobnick (ed.),2006,,Berg Publishers,,9781845202132,https://www.routledge.com/The-Smell-Culture-Reader/Drobnick/p/book/9781845202132,"Foundational anthology (philosophy, anthropology, art, design). Strong for framing smell as social + political medium.",smell studies; anthology; theory
Shiner2020ArtScents,book,B1 Olfactory art & aesthetics,A1 Smell studies & critical theory,Art Scents: Exploring the Aesthetics of Smell and the Olfactory Arts,Larry Shiner,2020,,Oxford University Press,,9780190089818,https://global.oup.com/academic/product/art-scents-9780190089818,Rare book-length aesthetics of olfactory art; bridges art theory + sensory studies.,aesthetics; olfactory art; philosophy
ClassenHowesSynnott1994Aroma,book,A1 Smell studies & critical theory,C1 Olfactory heritage,Aroma: The Cultural History of Smell,Constance Classen; David Howes; Anthony Synnott,1994,,Routledge,,,,Classic cultural history and comparative approach; useful for critical framing and ‘odor regimes’.,cultural history; anthropology
Corbin1986FoulFragrant,book,A1 Smell studies & critical theory,C1 Olfactory heritage,The Foul and the Fragrant: Odor and the French Social Imagination,Alain Corbin,1986,,Harvard University Press,,9780674311763,https://books.google.com/books/about/The_Foul_and_the_Fragrant.html?id=LI1M4sLcvPAC,Canonical sensory history of modernity + hygiene politics; great for ‘odor governance’.,history; modernity; hygiene
Reinarz2014PastScents,book,A1 Smell studies & critical theory,C1 Olfactory heritage,Past Scents: Historical Perspectives on Smell,Jonathan Reinarz,2014,,University of Illinois Press,,,https://www.press.uillinois.edu/books/?id=p079795,Survey historiography of smell; strong bibliography base and themes (race/class/gender/city).,sensory history; historiography
OdeuropaProject,website,C1 Olfactory heritage & computational humanities,D1 Knowledge graph & datasets; E1 Museum protocols,Odeuropa: Smell Heritage – Sensory Mining (project hub),Odeuropa Consortium,2021,,,,,https://odeuropa.eu/,Flagship EU project combining AI + heritage to mine smells from texts/images (1600–1920).,H2020; AI; heritage; smell
OdeuropaSmellExplorer,website,C1 Olfactory heritage & computational humanities,D1 Knowledge graph & datasets,Odeuropa Smell Explorer,Odeuropa,2023,,,,,https://explorer.odeuropa.eu/,Search interface to browse historic smell references and ‘fragrant spaces’—model for PERFUMUM search UX.,search tool; dataset; UI
OdeuropaEncyclopedia,website,C1 Olfactory heritage & computational humanities,E1 Museum protocols,Encyclopedia of Smell History and Heritage,Odeuropa,2023,,,,,https://encyclopedia.odeuropa.eu/,Reference entries + storylines; good model for editorial ‘chapters’ and storytelling taxonomies.,encyclopedia; editorial model
OdeuropaGithub,software,D1 Knowledge graph & datasets,C1 Olfactory heritage & computational humanities,Odeuropa GitHub organization,Odeuropa,2021,,,,,https://github.com/Odeuropa,"Code + data pipelines for sensory mining, image tagging, KG—useful for implementation patterns.",open source; datasets; KG
Verbeek2016VolatileHeritage,article,E1 Museum protocols & olfactory museology,C1 Olfactory heritage & computational humanities; B1 Olfactory art & aesthetics,Presenting volatile heritage: Two case studies on olfactory reconstructions in the museum,Caro L. Verbeek,2016,Future Anterior,University of Minnesota Press,10.5749/futuante.13.2.0033,,https://research.vu.nl/en/publications/presenting-volatile-heritage-two-case-studies-on-olfactory-recons/,"Two museum case studies; foundational for protocols, authenticity debates, and visitor mediation.",museology; reconstruction; heritage
VerbeekLeemansFleming2022OlfactoryMuseology,article,E1 Museum protocols & olfactory museology,C1 Olfactory heritage & computational humanities,How can scents enhance the impact of guided museum tours? Towards an impact approach for olfactory museology,Caro Verbeek; Inger Leemans; Bernardi Fleming,2022,The Senses and Society,Taylor & Francis,10.1080/17458927.2022.2142012,,https://www.tandfonline.com/doi/full/10.1080/17458927.2022.2142012,Impact framework + Rijksmuseum tour co-creation; very implementable.,evaluation; tours; visitor studies
VerbeekPhDInSearchLostScents,thesis,B1 Olfactory art & aesthetics,E1 Museum protocols & olfactory museology,In Search of Lost Scents – Reconstructing the Aromatic Heritage of the Avant-Garde (PhD dissertation),Caro Verbeek,2021,,Vrije Universiteit Amsterdam,,,https://research.vu.nl/ws/portalfiles/portal/226369979/In_Search_of_Lost_Scents.pdf,Deep dive on smell in avant-garde (esp. Futurism) + reconstruction methods; heavy source mine.,PhD; avant-garde; reconstruction
HenshawMcLeanMedwayEtAl2017DesigningWithSmell,book,"B2 Smell in space, design & urban smellscapes",E1 Museum protocols & olfactory museology,"Designing with Smell: Practices, Techniques and Challenges",Victoria Henshaw; Kate McLean; Dominic Medway (eds.),2017,,Routledge,10.4324/9781315666273,9781138955547,https://www.taylorfrancis.com/books/edit/10.4324/9781315666273/designing-smell-victoria-henshaw-kate-mclean-dominic-medway-chris-perkins-gary-warnaby,Methods + case studies for smell-inclusive design; practical apparatus and field techniques.,design; smellscape; methods
Henshaw2013UrbanSmellscapes,book,"B2 Smell in space, design & urban smellscapes",A1 Smell studies & critical theory,Urban Smellscapes: Understanding and Designing City Smell Environments,Victoria Henshaw,2013,,Routledge,,,,Seminal design/urbanism lens; good for ‘climatic axis’ and mapping practices.,urbanism; smellscape
Pallasmaa2024EyesOfSkin,book,"B2 Smell in space, design & urban smellscapes",A1 Smell studies & critical theory,The Eyes of the Skin: Architecture and the Senses (4th ed.),Juhani Pallasmaa,2024,,Wiley,,9781394200689,https://www.wiley.com/en-be/The%2BEyes%2Bof%2Bthe%2BSkin%3A%2BArchitecture%2Band%2Bthe%2BSenses%2C%2B4th%2BEdition-p-9781394200689,Not smell-only but essential for multi-sensory spatial thinking and critique of ocularcentrism.,architecture; senses
deCupere2025ScentInContext,book,B1 Olfactory art & aesthetics,"B2 Smell in space, design & urban smellscapes",Scent in Context: Olfactory Art,Peter de Cupere,2025,,Hannibal / Simon & Schuster (distribution),,9789077207338,https://www.simonandschuster.com/books/Peter-de-Cupere/Peter-Cupere/9789077207338,"Massive ‘field manual’ of olfactory art practice (20y, 500+ works, scratch-and-sniff).",artist monograph; olfactory art
