Aspect,Résultat
Auteur le plus cité (Cannabis),Graves & Boies (136 citations)
Auteur le plus cité (Tabac),"Rodgman & Perfetti (1,558 citations)"
Institution la plus productive (Cannabis),Portland State University (3 publications)
Institution la plus productive (Tabac),Oak Ridge National Laboratory
Méthode analytique la plus utilisée,GC-MS (5 publications)
Technique la plus performante,GC×GC-TOFMS (résolution exceptionnelle)
Publications 2017-2021,6 publications
Publications 2023-2025,3 publications
Chercheurs actifs post-2023,"2 (Strongin, Tang)"
Focus principal post-2023,"Vapotage de concentrés, formation de cétène"
