axis,priority,type,citation_key,title,authors,year,venue,volume,number,pages,doi,url,notes
Axe 1 — Génomique olfactive,P0,article,Billesbolle2023OR51E2,Structural basis of odorant recognition by a human odorant receptor,"Billesbølle, Christian B.; Maeda, Sho; et al.",2023,Nature,615,7953,742–749,10.1038/s41586-023-05798-y,https://pmc.ncbi.nlm.nih.gov/articles/PMC10580732/,Cryo-EM structure d’un récepteur olfactif humain (OR51E2) : ref clé pour Axe 1 + ‘resurrection / reconstruction’ guidée par structure.
Axe 1 — Génomique olfactive,P1,article,Jia2022TPS_Evolution,Origin and early evolution of the plant terpene synthase family,"Jia, Qidong; Brown, Reid; Köllner, Tobias G.; Fu, Jianyu; Chen, Xinlu; Wong, Gane Ka-Shu; Gershenzon, Jonathan; Peters, Reuben J.; Chen, Feng",2022,Proceedings of the National Academy of Sciences,119,15,e2100361119,10.1073/pnas.2100361119,https://www.pnas.org/doi/10.1073/pnas.2100361119,Base ‘biosynthèse des terpènes’ pour relier génétique (TPS) ↔ chimie ↔ terroir.
Axe 2 — Ethnobotanique computationnelle,P0,article,Meijer2024NP_KG,Empowering natural product science with AI: leveraging multimodal data and knowledge graphs,"Meijer, David; Beniddir, Mehdi A.; Coley, Connor W.; Mejri, Yassine M.; et al.",2024,Natural Product Reports,42,4,654–662,10.1039/d4np00008k,https://pmc.ncbi.nlm.nih.gov/articles/PMC11327853/,Viewpoint RSC : pourquoi/ comment structurer la science des produits naturels en knowledge graph (schéma de données + opportunités IA).
Axe 2 — Ethnobotanique computationnelle,P1,article,ReimaginingEthnopharmacology2025GenAI,Reimagining ethnopharmacology with generative AI,(voir article ScienceDirect),2025,Journal of Ethnopharmacology (ou revue associée),,,,,https://www.sciencedirect.com/science/article/pii/S104366182500427X,"Revue / perspective sur GenAI pour extraction, structuration et transmission des savoirs ethnobotaniques."
Axe 3 — Chimie analytique trans-époques,P0,article,Wang2023CSIA_EOAuthenticity,Application of compound-specific isotope analysis (CSIA) in authenticity of essential oil: A review,"Wang, Xinyue; Wei, Yihan; Zhang, Chenyang; Pei, Zhao; Aadil, Rana Muhammad",2023,Food Chemistry,406,,135047,10.1016/j.foodchem.2022.135047,https://www.sciencedirect.com/science/article/pii/S0308814622024965,CSIA/IRMS : clé anti-fraude + ‘fingerprinting’ terroir/époque.
Axe 4 — Biotechnologies de conservation,P0,article,Nagel2024PlantCryopreservation,"Plant Cryopreservation: Principles, Applications, and Challenges of Banking Plant Diversity at Ultralow Temperatures","Nagel, Manuela; Pence, Valerie; Ballesteros, Daniel; Lambardi, Maurizio; Popova, Elena; Panis, Bart",2024,Annual Review of Plant Biology,75,,797–824,10.1146/annurev-arplant-070623-103551,https://www.annualreviews.org/content/journals/10.1146/annurev-arplant-070623-103551,"Revue de référence : vitrification/droplet-vitrification, dormancy bud-freezing, limites, gouvernance de cryobanques."
Axe C — Chimie de l’espace (indoor),P0,article,Patra2025WaxMelts,Flame-Free Candles Are Not Pollution-Free: Scented Wax Melts Are Associated with Significant Nanoparticle Formation,"Patra, Sagnik; Jiang, Chenyuan; et al.",2025,Environmental Science & Technology Letters,12,2,175–182,10.1021/acs.estlett.4c00986,https://pmc.ncbi.nlm.nih.gov/articles/PMC11835378/,Pilier ‘wax melts’ + transformation terpènes→aérosols : utile pour déclinaison parfum ↔ encens ↔ espace.
Axe C — Chimie de l’espace (indoor),P0,article,Zannoni2025HumanOxidationField,Personal care products disrupt the human oxidation field,"Zannoni, Nora; Lakey, Pascale S.J.; Won, Youngbo; Shiraiwa, Manabu; Rim, Donghyun; Weschler, Charles J.; Wang, Nijing; et al.",2025,Science Advances,11,21,eads7908,10.1126/sciadv.ads7908,https://pubmed.ncbi.nlm.nih.gov/40397733/,"Fondamental pour ‘chimie personnelle’ : fragrances/lotions modifient OH/ozone, exposition et perception."
Axe C — Chimie de l’espace (indoor),P0,article,Wu2024IndoorEmissionOxidationNPF,"Indoor Emission, Oxidation, and New Particle Formation of Personal Care Product Related Volatile Organic Compounds","Wu, Tianren; et al.",2024,Environmental Science & Technology Letters,11,10,1053–1061,10.1021/acs.estlett.4c00353,https://pmc.ncbi.nlm.nih.gov/articles/PMC11465640/,Expériences chambre + formation particules via monoterpènes/ozone : bon pour protocole ‘installation olfactive’ (air chemistry).
Axe C — Chimie de l’espace (indoor),P1,article,Chatzidiakou2025SurfacesIndoorChem,The impact of surfaces on indoor air chemistry following cooking and cleaning events,(voir RSC Environmental Science: Processes & Impacts),2025,Environmental Science: Processes & Impacts,,,,10.1039/D4EM00410H,https://pubs.rsc.org/en/content/articlehtml/2025/em/d4em00410h,"Surfaces, ozone, monoterpènes : modélise ‘persistence’ des odeurs et chimie secondaire sur matériaux."
Axe C — Chimie de l’espace (indoor),P1,article,Zhang2025CleaningIndoorVOC,Influence of Cleaning on Indoor Air Concentrations of Volatile and Semivolatile Organic Compounds,(voir ACS Environmental Science & Technology),2024,Environmental Science & Technology,,,,10.1021/acs.est.4c11274,https://pubs.acs.org/doi/10.1021/acs.est.4c11274,Nettoyage et persistance de VOC/SVOC en intérieur : proche ‘rituels / protocole spatial’ autour du parfum.
Axe C — Chimie de l’espace (indoor),P1,article,Dada2023SesquiterpenesNPF,Role of sesquiterpenes in biogenic new particle formation,"Dada, Lubna; et al.",2023,Science Advances,9,36,eadi5297,10.1126/sciadv.adi5297,https://pmc.ncbi.nlm.nih.gov/articles/PMC10491295/,Relie β-caryophyllene / α-pinene / isoprene à NPF : utile pour modéliser émissions encens/bois/terpènes.
Axe J — VR olfactive,P0,article,Dudarev2024OlfactoryDisplaysSurvey,Olfactory display designs for virtual reality environments: a survey,"Dudarev, D.; Hürst, W.; et al.",2024,ACM Computing Surveys,,,,10.1145/3666120,https://research.tue.nl/en/publications/olfactory-display-designs-for-virtual-reality-environments-a-surve,"Revue large : architectures d’olfactory displays, timings, cross-modalité, sécurité; base pour Axe VR."
Axe J — VR olfactive,P1,article,Chen2025DigitalSmellTechBuiltEnv,Digital smell technologies in the built environment: A critical review,"Chen, Yali; Fabi, Valentina; Spigliantini, Giorgio",2025,Building and Environment,279,,112868,10.1016/j.buildenv.2025.112868,https://www.sciencedirect.com/science/article/pii/S0360132325001724,Très pertinent pour ‘chimie de l’espace’ + design/hygiène/sécurité des diffusions.
Axe M — Cannabis (enzymes spécifiques),P2,article,Wiles2025TerpinoleneSynthase,"The product specificities of terpinolene synthase, from Cannabis sativa, reveals the plasticity of the terpene synthase active site","Wiles, Danielle; Roest, James; Vivian, Julian P.; Beddoe, Travis",2025,Journal of Structural Biology,,,108227,10.1016/j.jsb.2025.108227,https://www.sciencedirect.com/science/article/pii/S1047847725000620,"Pont Axe 1 (structure) ↔ Axe M (cannabis) : TPS en détails, pour ‘molécule signature’ et ingénierie."
Axe M — Cannabis (génomique),P1,article,Zager2019CannabisTPSFamily,Genomic characterization of the complete terpene synthase gene family from Cannabis sativa,"Zager, Jacob J.; et al.",2019,PLOS ONE,14,9,e0222363,10.1371/journal.pone.0222363,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0222363,55 TPS annotés; contexte génomique + expression : utile pour ‘features’ de variétés.
Axe M — Cannabis (génétique terpènes),P0,article,Booth2020CsTPSVariation,Terpene Synthases and Terpene Variation in Cannabis sativa,"Booth, Judith K.; Page, Jonathan E.; Bohlmann, Jörg; et al.",2020,Plant Physiology,184,,1300–1316,10.1104/pp.20.00593,https://pmc.ncbi.nlm.nih.gov/articles/PMC7479917/,Cartographie CsTPS + profils terpènes : base pour ‘variétés fantômes’ + data-model (gènes↔molécules).
Axe M — Cannabis (étiquetage/terpènes),P1,article,Watts2021CannabisLabellingTPS,Cannabis labelling is associated with genetic variation in terpene synthase genes,"Watts, Sophie; McElroy, Michel; Migicovsky, Zoë; Maassen, Hugo; van Velzen, Robin; Myles, Sean",2021,Nature Plants,7,10,1330–1334,10.1038/s41477-021-01003-y,https://pubmed.ncbi.nlm.nih.gov/34650264/,Lien direct ‘naming’ ↔ variation TPS; utile pour ton module ‘taxonomy of strains’.
Axe M — Cannabis Colombie,P0,article,PCA2024ColombiaCannabisDiversity,Unveiling Colombia's medicinal Cannabis sativa treasure trove: Phenotypic and Chemotypic diversity in legal cultivation,(voir PubMed entry),2024,Phytochemical Analysis,,,,10.1002/pca.3436,https://pubmed.ncbi.nlm.nih.gov/39169651/,"156 plants, 10 cannabinoids, 23 terpenes : base solide pour ‘variétés / chimiotypes’ en Colombie."
Axe N — Tabac (arômes GC-MS),P2,article,Yang2025TobaccoAromaChemometrics,Chemometrics-driven discrimination of flue-cured tobacco aroma types via GC-MS/MS and multivariate analysis,"Yang, Hongjing; Zhang, Jiandong; Liu, Chen; Song, Kai; Gao, Yunzhen; Wei, Jinbin; Liu, Yanling; Zang, Zhipeng; Wang, Zhen",2025,RSC Advances,15,,42354–42363,10.1039/D5RA02888D,https://pubs.rsc.org/en/content/articlelanding/2025/ra/d5ra02888d,Exemple récent de pipeline GC-MS/MS + modèles : utile pour ‘fingerprinting’ tabac régional.
Axe N — Tabac (chimie/alc.),P1,article,Sun2013NicotianaAlkaloids,Genetic variation in alkaloid accumulation in leaves of Nicotiana,"Sun, Bo; Zhang, Fen; Zhou, Guo-jun; Chu, Guo-hai; Huang, Fang-fang; Wang, Qiao-mei; Jin, Li-feng; Lin, Fu-cheng; Yang, Jun",2013,Journal of Zhejiang University-SCIENCE B,14,12,1100–1109,10.1631/jzus.B1300130,https://pmc.ncbi.nlm.nih.gov/articles/PMC3863368/,"Profil alkaloïdes (nicotine, nornicotine, anabasine, anatabine, etc.) : base pour axe tabac + sécurité."
Infra — Données & standards,P0,misc,GBIF,Global Biodiversity Information Facility (GBIF),GBIF Secretariat,2026,,,,,,https://www.gbif.org/,API occurrence/species; seed pour ingestion taxonomique/géo.
Infra — Données & standards,P0,misc,POWO,Plants of the World Online (POWO),"Royal Botanic Gardens, Kew",2026,,,,,,https://powo.science.kew.org/,Référentiel taxonomique stable + distribution; pratique pour harmoniser noms/identifiants.
Infra — Données & standards,P0,misc,IUCNRedList,The IUCN Red List of Threatened Species,IUCN,2026,,,,,,https://www.iucnredlist.org/,Statuts de menace; utile pour prioriser espèces en conservation olfactive.
Infra — Données & standards,P0,misc,CITES,CITES — Convention on International Trade in Endangered Species of Wild Fauna and Flora,CITES Secretariat,2026,,,,,,https://cites.org/,Cadre légal pour commerce de matières premières naturelles.
Infra — Données & standards,P1,misc,BHL,Biodiversity Heritage Library (BHL),BHL Consortium,2026,,,,,,https://www.biodiversitylibrary.org/,"Corpus historique + OCR; parfait pour Axe 2 (routes, traités, pharmacopées)."
Infra — Données & standards,P1,misc,IIIF,International Image Interoperability Framework (IIIF),IIIF Consortium,2026,,,,,,https://iiif.io/,Standard pour servir/manipuler images de manuscrits + annotations.
Infra — Données & standards,P1,misc,Transkribus,Transkribus Platform (Handwritten Text Recognition),READ-COOP,2026,,,,,,https://www.transkribus.org/,HTR/OCR manuscrits; pipeline clé pour extraction de recettes olfactives historiques.
Infra — Données & standards,P1,misc,CropTrust,Crop Trust (Global crop diversity conservation),Crop Trust,2026,,,,,,https://www.croptrust.org/,Ressource sur conservation semences/seed vault; utile Axe 4.
Infra — Données & standards,P1,misc,BGCI,Botanic Gardens Conservation International (BGCI),BGCI,2026,,,,,,https://www.bgci.org/,Réseau jardins botaniques; accès à ThreatSearch / conservation ex-situ.
