plant_latin_name,plant_name,molecule_name,weight,evidence,notes
Abelmoschus moschatus,Ambrette,ambrettolide,dominant,littérature/typologie (à confirmer),Variété fantôme stabilisable: profil très sensible à l’humidité (à confirmer GC-MS local).
Abelmoschus moschatus,Ambrette,farnesol,dominant,littérature/typologie (à confirmer),Variété fantôme stabilisable: profil très sensible à l’humidité (à confirmer GC-MS local).
Abelmoschus moschatus,Ambrette,geraniol,secondary,littérature/typologie (à confirmer),Variété fantôme stabilisable: profil très sensible à l’humidité (à confirmer GC-MS local).
Abelmoschus moschatus,Ambrette,linalool,secondary,littérature/typologie (à confirmer),Variété fantôme stabilisable: profil très sensible à l’humidité (à confirmer GC-MS local).
Aniba perutilis,Bois de rose colombien,linalool,dominant,littérature/typologie (à confirmer),Espèce rare/menacée localement; privilégier sources éthiques.
Aniba perutilis,Bois de rose colombien,traces terpéniques,dominant,littérature/typologie (à confirmer),Espèce rare/menacée localement; privilégier sources éthiques.
Copaifera officinalis,Copaïba (oléorésine),beta-caryophyllene,dominant,littérature/typologie (à confirmer),Profil très stable; utile pour encens/espaces en micro-dose.
Copaifera officinalis,Copaïba (oléorésine),alpha-humulene,dominant,littérature/typologie (à confirmer),Profil très stable; utile pour encens/espaces en micro-dose.
Copaifera officinalis,Copaïba (oléorésine),sesquiterpenes (resin mix),secondary,littérature/typologie (à confirmer),Profil très stable; utile pour encens/espaces en micro-dose.
Protium heptaphyllum,Breu branco (résine),alpha-pinene,dominant,littérature/typologie (à confirmer),Résine souvent vendue localement sous noms génériques: vérifier identité botanique.
Protium heptaphyllum,Breu branco (résine),limonene,dominant,littérature/typologie (à confirmer),Résine souvent vendue localement sous noms génériques: vérifier identité botanique.
Protium heptaphyllum,Breu branco (résine),monoterpenes (resin mix),secondary,littérature/typologie (à confirmer),Résine souvent vendue localement sous noms génériques: vérifier identité botanique.
Protium heptaphyllum,Breu branco (résine),sesquiterpenes (resin mix),secondary,littérature/typologie (à confirmer),Résine souvent vendue localement sous noms génériques: vérifier identité botanique.
Bursera graveolens,Palo santo,limonene,dominant,littérature/typologie (à confirmer),Doit provenir de bois tombé/collecte éthique (fort risque de sur-exploitation).
Bursera graveolens,Palo santo,alpha-terpineol,dominant,littérature/typologie (à confirmer),Doit provenir de bois tombé/collecte éthique (fort risque de sur-exploitation).
Bursera graveolens,Palo santo,carvone,secondary,littérature/typologie (à confirmer),Doit provenir de bois tombé/collecte éthique (fort risque de sur-exploitation).
Myroxylon balsamum,Balsamier (baume),benzyl benzoate,dominant,littérature/typologie (à confirmer),Molécules indiquées = marqueurs de baumes; composition varie selon provenance.
Myroxylon balsamum,Balsamier (baume),benzyl cinnamate,dominant,littérature/typologie (à confirmer),Molécules indiquées = marqueurs de baumes; composition varie selon provenance.
Myroxylon balsamum,Balsamier (baume),acide cinnamique,secondary,littérature/typologie (à confirmer),Molécules indiquées = marqueurs de baumes; composition varie selon provenance.
Dipteryx odorata,Tonka (graine),coumarin,dominant,littérature/typologie (à confirmer),Utiliser en micro-dose pour éviter effet gourmand.
Dipteryx odorata,Tonka (graine),traces aromatiques,dominant,littérature/typologie (à confirmer),Utiliser en micro-dose pour éviter effet gourmand.
Lippia origanoides,Origan des Andes / Verbenaceae,thymol,dominant,littérature/typologie (à confirmer),Chémotypes multiples (thymol vs carvacrol): idéal pour 'variété fantôme'.
Lippia origanoides,Origan des Andes / Verbenaceae,carvacrol,dominant,littérature/typologie (à confirmer),Chémotypes multiples (thymol vs carvacrol): idéal pour 'variété fantôme'.
Lippia origanoides,Origan des Andes / Verbenaceae,p-cymene,secondary,littérature/typologie (à confirmer),Chémotypes multiples (thymol vs carvacrol): idéal pour 'variété fantôme'.
Lippia origanoides,Origan des Andes / Verbenaceae,gamma-terpinene,secondary,littérature/typologie (à confirmer),Chémotypes multiples (thymol vs carvacrol): idéal pour 'variété fantôme'.
Piper aduncum,Matico (Piper),dillapiole,dominant,littérature/typologie (à confirmer),Profil très variable selon site: documenter chémotype.
Piper aduncum,Matico (Piper),monoterpenes (resin mix),dominant,littérature/typologie (à confirmer),Profil très variable selon site: documenter chémotype.
Tagetes minuta,Tagète (huile),tagetone,dominant,littérature/typologie (à confirmer),Peut vite devenir agressif: usage en trace.
Tagetes minuta,Tagète (huile),dihydrotagetone,dominant,littérature/typologie (à confirmer),Peut vite devenir agressif: usage en trace.
Tagetes minuta,Tagète (huile),ocimene,secondary,littérature/typologie (à confirmer),Peut vite devenir agressif: usage en trace.
Eryngium foetidum,Culantro (feuille),e-2-dodecenal,dominant,littérature/typologie (à confirmer),Aldéhydes dominants très puissants: micro-dose.
Eryngium foetidum,Culantro (feuille),aldéhydes c10–c12,dominant,littérature/typologie (à confirmer),Aldéhydes dominants très puissants: micro-dose.
Guaiacum officinale,Gaïac (bois),guaiol,dominant,littérature/typologie (à confirmer),Espèce menacée dans plusieurs zones: sourcing très prudent.
Guaiacum officinale,Gaïac (bois),sesquiterpenes (resin mix),dominant,littérature/typologie (à confirmer),Espèce menacée dans plusieurs zones: sourcing très prudent.
Amyris balsamifera,Amyris (bois),elemol,dominant,littérature/typologie (à confirmer),Souvent appelé 'West Indian sandalwood' (mais ce n’est pas un santal).
Amyris balsamifera,Amyris (bois),valerianol,dominant,littérature/typologie (à confirmer),Souvent appelé 'West Indian sandalwood' (mais ce n’est pas un santal).
Amyris balsamifera,Amyris (bois),sesquiterpenes (resin mix),secondary,littérature/typologie (à confirmer),Souvent appelé 'West Indian sandalwood' (mais ce n’est pas un santal).
