plant_id,molecule_id,evidence,notes
pl-cannabis-sativa,mol-thc,seed,Core cannabis-associated class
pl-cannabis-sativa,mol-thca,seed,Core cannabis-associated class
pl-cannabis-sativa,mol-cbd,seed,Core cannabis-associated class
pl-cannabis-sativa,mol-cbda,seed,Core cannabis-associated class
pl-cannabis-sativa,mol-cbg,seed,Core cannabis-associated class
pl-cannabis-sativa,mol-cbc,seed,Core cannabis-associated class
pl-cannabis-sativa,mol-myrcene,seed,Core cannabis-associated class
pl-cannabis-sativa,mol-limonene,seed,Core cannabis-associated class
pl-cannabis-sativa,mol-a-pinene,seed,Core cannabis-associated class
pl-cannabis-sativa,mol-b-caryophyllene,seed,Core cannabis-associated class
pl-cannabis-sativa,mol-linalool,seed,Core cannabis-associated class
pl-cannabis-sativa,mol-terpinolene,seed,Core cannabis-associated class
pl-nicotiana-tabacum,mol-nicotine,seed,Core tobacco-associated class
pl-nicotiana-tabacum,mol-nornicotine,seed,Core tobacco-associated class
pl-nicotiana-tabacum,mol-anatabine,seed,Core tobacco-associated class
pl-nicotiana-tabacum,mol-anabasine,seed,Core tobacco-associated class
pl-nicotiana-tabacum,mol-nnn,seed,Core tobacco-associated class
pl-nicotiana-tabacum,mol-nnk,seed,Core tobacco-associated class
