evidence_id,molecule_id,molecule_name,marker_type,process_context,method,time_context,region_context,entity_type,entity_name,entity_id,claim_summary,confidence,reference_id,reference_title,doi,url,tags,notes
ev-CAN-002-mol-terpinolene,mol-terpinolene,Terpinolene,family/variation,genetics ↔ terpenes,genomics + GC-MS,,,reference,,,,low,CAN-002,Genomic characterization of the complete terpene synthase gene family in Cannabis sativa,10.1371/journal.pone.0222363,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0222363,,Catalog of TPS genes + expression; foundation for linking chemotype/terpene profiles to genotype.
ev-CAN-003-mol-terpinolene,mol-terpinolene,Terpinolene,family/variation,genetics ↔ terpenes,genomics + GC-MS,,,reference,,,,low,CAN-003,Terpene Synthases and Terpene Variation in Cannabis sativa,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7479917/,,"Review framing: terpene synthase family, genetic/biochemical sources of terpene variation."
ev-CAN-004-mol-terpinolene,mol-terpinolene,Terpinolene,family/variation,genetics ↔ terpenes,genomics + GC-MS,,,reference,,,,low,CAN-004,Recent advances in Cannabis sativa genomics research,10.1111/nph.17140,https://nph.onlinelibrary.wiley.com/doi/10.1111/nph.17140,,"State-of-the-field on cannabis genomics, including TPS/cannabinoid synthases and chemotype genetics."
ev-CAN-005-mol-9-thc,mol-9-thc,Δ9-THC,present/selected,chemotype,GC-MS/LC,,,reference,,,,medium,CAN-005,A chemotaxonomic analysis of cannabinoid variation in Cannabis (Cannabaceae),10.3732/ajb.91.6.966,https://bsapubs.onlinelibrary.wiley.com/doi/10.3732/ajb.91.6.966,,Classic chemotype framing (THC/CBD ratio) useful for 'lost chemotypes' narratives.
ev-CAN-005-mol-cbd,mol-cbd,CBD,present/selected,chemotype,GC-MS/LC,,,reference,,,,medium,CAN-005,A chemotaxonomic analysis of cannabinoid variation in Cannabis (Cannabaceae),10.3732/ajb.91.6.966,https://bsapubs.onlinelibrary.wiley.com/doi/10.3732/ajb.91.6.966,,Classic chemotype framing (THC/CBD ratio) useful for 'lost chemotypes' narratives.
ev-CAN-006-mol-9-thc,mol-9-thc,Δ9-THC,present/selected,chemotype,GC-MS/LC,1st millennium BCE (archaeological residues),,reference,,,,medium,CAN-006,The origins of cannabis smoking: Chemical residue evidence from the first millennium BCE in the Pamirs,,https://pmc.ncbi.nlm.nih.gov/articles/PMC6561734/,,"GC-MS residue evidence (e.g., cannabinol) supports high-THC selection; model for archaeochemical scent/psychoactive markers."
ev-CAN-006-mol-cbn-cannabinol,mol-cbn-cannabinol,CBN (Cannabinol),oxidation marker,aging/oxidation,GC-MS,1st millennium BCE (archaeological residues),,reference,,,,high,CAN-006,The origins of cannabis smoking: Chemical residue evidence from the first millennium BCE in the Pamirs,,https://pmc.ncbi.nlm.nih.gov/articles/PMC6561734/,,"GC-MS residue evidence (e.g., cannabinol) supports high-THC selection; model for archaeochemical scent/psychoactive markers."
ev-CAN-007-mol-9-thc,mol-9-thc,Δ9-THC,present/selected,chemotype,GC-MS/LC,Ancient material (Central Asia; preserved samples),,reference,,,,medium,CAN-007,Phytochemical and genetic analyses of ancient cannabis from Central Asia,,https://academic.oup.com/jxb/article/59/15/4171/518859,,HPLC/GC/MS + genetics on ancient cannabis; CBN predominance indicates historical THC-rich chemotype.
ev-CAN-007-mol-cbn-cannabinol,mol-cbn-cannabinol,CBN (Cannabinol),oxidation marker,aging/oxidation,GC-MS,Ancient material (Central Asia; preserved samples),,reference,,,,high,CAN-007,Phytochemical and genetic analyses of ancient cannabis from Central Asia,,https://academic.oup.com/jxb/article/59/15/4171/518859,,HPLC/GC/MS + genetics on ancient cannabis; CBN predominance indicates historical THC-rich chemotype.
ev-CAN-007-mol-nicotine,mol-nicotine,Nicotine,time-series potential,herbarium metabolomics,LC-HRMS,Ancient material (Central Asia; preserved samples),,reference,,,,medium,CAN-007,Phytochemical and genetic analyses of ancient cannabis from Central Asia,,https://academic.oup.com/jxb/article/59/15/4171/518859,,HPLC/GC/MS + genetics on ancient cannabis; CBN predominance indicates historical THC-rich chemotype.
ev-CAN-009-mol-nicotine,mol-nicotine,Nicotine,time-series potential,herbarium metabolomics,LC-HRMS,,,reference,,,,medium,CAN-009,"Cannabis Systematics at the Levels of Family, Genus, and Species",10.1089/can.2018.0039,https://journals.sagepub.com/doi/full/10.1089/can.2018.0039,,Systematics + herbarium naming ambiguity; helps interpret historical specimens & ‘ghost varieties’.
ev-TOB-001-mol-terpinolene,mol-terpinolene,Terpinolene,family/variation,genetics ↔ terpenes,genomics + GC-MS,Late 19th–early 20th century herbarium vs modern samples,,reference,,,,low,TOB-001,Botanical collections as an opportunity to explore nature through the time: An untargeted metabolomic study in historical and modern Nicotiana leaves,10.1016/j.jas.2023.105769,https://www.sciencedirect.com/science/article/pii/S030544032300047X,,LC-HRMS untargeted metabolomics on late-19th/early-20th Kew Nicotiana specimens; direct template for 'lost alkaloid/terpene profiles' time series.
ev-TOB-001-mol-nicotine,mol-nicotine,Nicotine,time-series potential,herbarium metabolomics,LC-HRMS,Late 19th–early 20th century herbarium vs modern samples,,reference,,,,medium,TOB-001,Botanical collections as an opportunity to explore nature through the time: An untargeted metabolomic study in historical and modern Nicotiana leaves,10.1016/j.jas.2023.105769,https://www.sciencedirect.com/science/article/pii/S030544032300047X,,LC-HRMS untargeted metabolomics on late-19th/early-20th Kew Nicotiana specimens; direct template for 'lost alkaloid/terpene profiles' time series.
ev-TOB-002-mol-nicotine,mol-nicotine,Nicotine,detected/present,alkaloid profiling,GC-MS/MS or LC-MS,,,reference,,,,medium,TOB-002,"Conversion of nicotine to nornicotine in Nicotiana tabacum is mediated by CYP82E4, a cytochrome P450 monooxygenase",10.1073/pnas.0506581102,https://www.pnas.org/doi/10.1073/pnas.0506581102,,Key mechanistic paper; explains cultivar-level shifts in alkaloid composition (nicotine vs nornicotine).
ev-TOB-002-mol-nornicotine,mol-nornicotine,Nornicotine,detected/variable,alkaloid profiling,GC-MS/MS or LC-MS,,,reference,,,,medium,TOB-002,"Conversion of nicotine to nornicotine in Nicotiana tabacum is mediated by CYP82E4, a cytochrome P450 monooxygenase",10.1073/pnas.0506581102,https://www.pnas.org/doi/10.1073/pnas.0506581102,,Key mechanistic paper; explains cultivar-level shifts in alkaloid composition (nicotine vs nornicotine).
ev-TOB-003-mol-nicotine,mol-nicotine,Nicotine,detected/present,alkaloid profiling,GC-MS/MS or LC-MS,,,reference,,,,medium,TOB-003,Genomic Insights into the Evolution of the Nicotine Biosynthesis Pathway in Tobacco,,https://academic.oup.com/plphys/article/174/2/999/6117609,,Uses genome resources to inventory nicotine pathway genes; helpful for 'functional loss' and regulatory evolution narratives.
ev-TOB-005-mol-nicotine,mol-nicotine,Nicotine,detected/present,alkaloid profiling,GC-MS/MS or LC-MS,,,reference,,,,medium,TOB-005,Genetic regulation and manipulation of nicotine biosynthesis in tobacco: progress and prospects,,https://pmc.ncbi.nlm.nih.gov/articles/PMC10938045/,,Review of genetic regulation & engineering; useful to connect breeding to missing/attenuated alkaloid signatures.
