variety_name,plant_latin_name,region,type,part_used,olfactive_signature,dominant_molecules,climatic_axis,harvest_period,notes
Lippia alba — chémotype citral,Lippia alba,Colombie,chémotype,feuille,"citronné sec, herbacé",geranial; neral,vent,été,"Chémotype 'vent' : coupe aérienne, non sucrée."
Lippia alba — chémotype carvone,Lippia alba,Colombie,chémotype,feuille,"menthé sec, anisé léger",carvone; limonene,vent,été,Chémotype 'vent menthé' : très différent du citral.
Ocimum gratissimum — chémotype eugenol,Ocimum gratissimum,Burkina Faso,chémotype,feuille,"clou vert, épice sèche",eugenol,bois; vent,saison des pluies,Support épicé vert (micro-dose).
Ocimum gratissimum — chémotype thymol,Ocimum gratissimum,Burkina Faso,chémotype,feuille,"thym médicinal, sec",thymol,bois,saison des pluies,"Plus médical, plus sec."
Cymbopogon — citratus (citral),Cymbopogon citratus,Caraïbes/Colombie,espèce,feuille,"citron sec, net",geranial; neral,vent,variable,Tendance 'savon' si surdosage.
Cymbopogon — giganteus (p-menthadienol),Cymbopogon giganteus,Burkina Faso,espèce,feuille,"citron sec, camphré léger",alpha-terpineol; monoterpènes,vent,variable,Alternative au citral : moins savon.
Tabac — air-cured ventilé,Nicotiana tabacum,Colombie Caraïbe,process,feuille,"foin sec, bois clair",megastigmatrienone; solanone,bois; disparition,variable,"Tabac de circulation, sans fermentation lourde."
Tabac — réhydraté (65% HR),Nicotiana tabacum,Colombie/Burkina,process,feuille,feuille vivante ralentie,cis-3-hexenol; norisoprénoïdes,bois; disparition,variable,"État fantôme: instable, à documenter."
Cannabis — écotype ventilé (profil pinènes),Cannabis sativa,Caraïbes/Colombie,écotype,feuille/fleur,"piné, vert sec, extérieur",alpha-pinene; beta-pinene; terpinolene,vent; disparition,variable,"Viser non-identifiable, diffusion rapide."
Ambrette — graines humidifiées,Abelmoschus moschatus,Colombie/Burkina,état botanique,graine,"musqué végétal plus floral, ouverture rapide",ambrettolide; farnesol; linalool,peau; disparition,automne,Sensibilité forte à l’humidité = variété fantôme perceptive.
