id,axis,year,title,venue,doi,url,note
CAN-001,Cannabis | Pangenome & domestication,2025,Domesticated cannabinoid synthases amid a wild mosaic cannabis pangenome,Nature,10.1038/s41586-025-09065-0,https://www.nature.com/articles/s41586-025-09065-0,Cannabis pangenome; structural variation; domestication signals around cannabinoid synthase loci; germplasm-scale genomics.
CAN-002,Cannabis | TPS genes & terpene diversity,2019,Genomic characterization of the complete terpene synthase gene family in Cannabis sativa,PLOS ONE,10.1371/journal.pone.0222363,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0222363,Catalog of TPS genes + expression; foundation for linking chemotype/terpene profiles to genotype.
CAN-003,Cannabis | TPS genes & terpene diversity,2020,Terpene Synthases and Terpene Variation in Cannabis sativa,(review) via PMC,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7479917/,"Review framing: terpene synthase family, genetic/biochemical sources of terpene variation."
CAN-004,Cannabis | genomics review,2021,Recent advances in Cannabis sativa genomics research,New Phytologist,10.1111/nph.17140,https://nph.onlinelibrary.wiley.com/doi/10.1111/nph.17140,"State-of-the-field on cannabis genomics, including TPS/cannabinoid synthases and chemotype genetics."
CAN-005,Cannabis | chemotypes (classic),2004,A chemotaxonomic analysis of cannabinoid variation in Cannabis (Cannabaceae),American Journal of Botany,10.3732/ajb.91.6.966,https://bsapubs.onlinelibrary.wiley.com/doi/10.3732/ajb.91.6.966,Classic chemotype framing (THC/CBD ratio) useful for 'lost chemotypes' narratives.
CAN-006,Cannabis | ancient residues,2019,The origins of cannabis smoking: Chemical residue evidence from the first millennium BCE in the Pamirs,Science Advances,,https://pmc.ncbi.nlm.nih.gov/articles/PMC6561734/,"GC-MS residue evidence (e.g., cannabinol) supports high-THC selection; model for archaeochemical scent/psychoactive markers."
CAN-007,Cannabis | ancient plant material,2008,Phytochemical and genetic analyses of ancient cannabis from Central Asia,Journal of Experimental Botany,,https://academic.oup.com/jxb/article/59/15/4171/518859,HPLC/GC/MS + genetics on ancient cannabis; CBN predominance indicates historical THC-rich chemotype.
CAN-008,Cannabis | metabolite inventory,2021,"Cannabinoids, Phenolics, Terpenes and Alkaloids of Cannabis",Molecules (review) via PMC,,https://pmc.ncbi.nlm.nih.gov/articles/PMC8125862/,Broad metabolite inventory incl. minor constituents; supports 'molecules that disappeared from modern breeding' angle.
CAN-009,Cannabis | taxonomy & herbarium context,2018,"Cannabis Systematics at the Levels of Family, Genus, and Species",Cannabis and Cannabinoid Research,10.1089/can.2018.0039,https://journals.sagepub.com/doi/full/10.1089/can.2018.0039,Systematics + herbarium naming ambiguity; helps interpret historical specimens & ‘ghost varieties’.
TOB-001,Tobacco | historic metabolomics,2023,Botanical collections as an opportunity to explore nature through the time: An untargeted metabolomic study in historical and modern Nicotiana leaves,Journal of Archaeological Science,10.1016/j.jas.2023.105769,https://www.sciencedirect.com/science/article/pii/S030544032300047X,LC-HRMS untargeted metabolomics on late-19th/early-20th Kew Nicotiana specimens; direct template for 'lost alkaloid/terpene profiles' time series.
TOB-002,Tobacco | nicotine→nornicotine genetics,2005,"Conversion of nicotine to nornicotine in Nicotiana tabacum is mediated by CYP82E4, a cytochrome P450 monooxygenase",PNAS,10.1073/pnas.0506581102,https://www.pnas.org/doi/10.1073/pnas.0506581102,Key mechanistic paper; explains cultivar-level shifts in alkaloid composition (nicotine vs nornicotine).
TOB-003,Tobacco | nicotine pathway genomics,2017,Genomic Insights into the Evolution of the Nicotine Biosynthesis Pathway in Tobacco,Plant Physiology,,https://academic.oup.com/plphys/article/174/2/999/6117609,Uses genome resources to inventory nicotine pathway genes; helpful for 'functional loss' and regulatory evolution narratives.
TOB-004,Tobacco | genome reference,2014,The tobacco genome sequence and its comparison with those of tomato and potato,Nature Communications,10.1038/ncomms4833,https://www.nature.com/articles/ncomms4833,Reference genome paper; includes alkaloid pathway context; baseline for comparative/landrace studies.
TOB-005,Tobacco | regulation review,2024,Genetic regulation and manipulation of nicotine biosynthesis in tobacco: progress and prospects,(review) via PMC,,https://pmc.ncbi.nlm.nih.gov/articles/PMC10938045/,Review of genetic regulation & engineering; useful to connect breeding to missing/attenuated alkaloid signatures.
TOB-006,Tobacco | minor alkaloids analytics,2015,Application of GC-MS/MS for the Analysis of Tobacco Alkaloids in Tobacco Products,Analytical Methods (via PMC),,https://pmc.ncbi.nlm.nih.gov/articles/PMC4573525/,"GC-MS/MS in MRM for minor alkaloids (nornicotine, myosmine, anabasine, anatabine, isonicoteine): instrumentation reference for your 'proto-labo'."
TOB-007,Tobacco | alkaloid profiling (germplasm),1982,Alkaloid composition of the USDA tobacco (Nicotiana tabacum L.) germplasm collection,Tobacco Science (PDF),,https://www.coresta.org/sites/default/files/abstracts/Tobacco_Science_1982_26-31_p._117-120_ISSN._0082-4523.pdf,Legacy germplasm-level alkaloid ranges; useful evidence for chemotype breadth that modern lines may not retain.
XMAT-001,Herbarium | volatilomics time-series,2018,Historical herbarium collections reveal patterns of change in volatile terpenoids across time,Frontiers in Plant Science,10.3389/fpls.2018.01877,https://www.frontiersin.org/journals/plant-science/articles/10.3389/fpls.2018.01877/full,Direct precedent: using herbarium specimens to infer temporal dynamics of volatile terpenoids; transferable to perfume plants & tobacco/cannabis.
XMAT-002,Herbarium | ancient DNA,2016,Temporal patterns of damage and decay kinetics of DNA retrieved from plant herbarium specimens,Royal Society Open Science,10.1098/rsos.160239,https://royalsocietypublishing.org/doi/10.1098/rsos.160239,Practical constraints for herbarium genomics (aDNA damage/age effects) relevant to building an 'olfactory GenBank'.
XMAT-003,Tobacco | cigar aging volatilomics,2025,Untargeted metabolomics based on HS-SPME-GC-MS revealing the dynamic evolution of aroma components during cigar aging,Frontiers in Plant Science,10.3389/fpls.2025.1657415,https://www.frontiersin.org/journals/plant-science/articles/10.3389/fpls.2025.1657415/full,"Large-scale cigar volatilomics (1,836 volatiles) with rOAV; shows how terpenoids can increase/diversify with aging—good for 'disappearing/appearing molecules' framing."
