name,latin_name,family,category,origin,habitat,olfactive_signature,dominant_molecules,climatic_axis,traditional_use,absorbe_use,kingdom,division,class,order_name,genus,species,life_cycle,harvest_period,essential_oil_yield,notes
Ambrette,Abelmoschus moschatus,Malvaceae,aromatique,Colombie; Burkina Faso; Caraïbes,jachères tropicales (sec↔humide),"musqué végétal, peau, poudré, chaud",ambrettolide; farnesol; geraniol; linalool,peau; disparition,parfum naturel; médecine traditionnelle,liant peau; régulation sociale,Plantae,Magnoliophyta,Magnoliopsida,Malvales,Abelmoschus,moschatus,annuelle,Septembre–Novembre,0.2–0.6%,Variété fantôme stabilisable: profil très sensible à l’humidité (à confirmer GC-MS local).
Bois de rose colombien,Aniba perutilis,Lauraceae,aromatique,Colombie (Andes/Chocó),forêts tropicales humides,"bois floral propre, linalool, air humide",linalool (majoritaire); traces terpéniques,vent; peau,bois aromatique (tradition),clarification; base 'peau ventilée',Plantae,Magnoliophyta,Magnoliopsida,Laurales,Aniba,perutilis,vivace,variable,variable,Espèce rare/menacée localement; privilégier sources éthiques.
Copaïba (oléorésine),Copaifera officinalis,Fabaceae,aromatique,Colombie; Amazonie,forêts tropicales,"résine douce, bois clair, huileux",beta-caryophyllene; alpha-humulene; sesquiterpènes,bois,médecine traditionnelle; baume,structure résine sèche (sans sucre),Plantae,Magnoliophyta,Magnoliopsida,Fabales,Copaifera,officinalis,arbre,variable,oléorésine,Profil très stable; utile pour encens/espaces en micro-dose.
Breu branco (résine),Protium heptaphyllum,Burseraceae,aromatique,Colombie; Amazonie,forêts tropicales,"encens clair, citronné résineux, sec",alpha-pinene; limonene; monoterpènes; sesquiterpènes,vent; bois,fumigation; résine rituelle,encens de seuil; purge,Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Protium,heptaphyllum,arbre,variable,résine,Résine souvent vendue localement sous noms génériques: vérifier identité botanique.
Palo santo,Bursera graveolens,Burseraceae,aromatique,Colombie (régions sèches); Équateur; Pérou,forêts sèches tropicales,"bois citronné, doux, aérien",limonene; alpha-terpineol; carvone (variable),vent; bois,fumigation; bois aromatique,bois ventilé; support d’espace,Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Bursera,graveolens,arbre,variable,huile: 1–3% (variable),Doit provenir de bois tombé/collecte éthique (fort risque de sur-exploitation).
Balsamier (baume),Myroxylon balsamum,Fabaceae,aromatique,Colombie; Amérique centrale,forêts tropicales,"baume chaud, vanillé-résineux, cuir léger",benzyl benzoate; benzyl cinnamate; acide cinnamique (dérivés),bois; peau,baume; parfumerie,peau; temporalité longue,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Myroxylon,balsamum,arbre,variable,baume/oléorésine,Molécules indiquées = marqueurs de baumes; composition varie selon provenance.
Tonka (graine),Dipteryx odorata,Fabaceae,aromatique,Colombie; Guyanes; Amazonie,forêts tropicales,"amande sèche, foin, tabac clair (sans fumée)",coumarin (marqueur); traces aromatiques,bois; disparition,parfumerie; traditions locales,architecture du temps; accent tabac sec,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Dipteryx,odorata,arbre,Décembre–Mars,extrait (variable),Utiliser en micro-dose pour éviter effet gourmand.
Origan des Andes / Verbenaceae,Lippia origanoides,Verbenaceae,aromatique,Colombie (Caraïbe/Andes),zones sèches tropicales,"sec, phénolique, herbacé puissant",thymol; carvacrol; p-cymene; gamma-terpinene,bois,médecine traditionnelle; assaisonnement,structure encens (micro-dose),Plantae,Magnoliophyta,Magnoliopsida,Lamiales,Lippia,origanoides,vivace,variable,0.5–2%,Chémotypes multiples (thymol vs carvacrol): idéal pour 'variété fantôme'.
Matico (Piper),Piper aduncum,Piperaceae,aromatique,Colombie; Amazonie,"lisières, zones perturbées","vert épicé, anisé sec, médicinal",dillapiole (souvent dominant); monoterpènes,vent,médecine traditionnelle; antiseptique,vent vert; coupe non sucrée,Plantae,Magnoliophyta,Magnoliopsida,Piperales,Piper,aduncum,vivace,variable,variable,Profil très variable selon site: documenter chémotype.
Tagète (huile),Tagetes minuta,Asteraceae,aromatique,Colombie; Andes; Caraïbes (cultivé),"champs, bords de route","vert-fruité, métallique, aérien",tagetone; dihydrotagetone; ocimene (variable),vent; disparition,répulsif; traditions locales,modulation courte; effets 'air coupé',Plantae,Magnoliophyta,Magnoliopsida,Asterales,Tagetes,minuta,annuelle,variable,0.2–1%,Peut vite devenir agressif: usage en trace.
Culantro (feuille),Eryngium foetidum,Apiaceae,aromatique,Caraïbes; Colombie,"zones humides, jardins","vert coriandre, métallique, feuille",E-2-dodecenal (marqueur); aldéhydes C10–C12,vent,cuisine; médecine populaire,vent 'feuille' non sucré (trace),Plantae,Magnoliophyta,Magnoliopsida,Apiales,Eryngium,foetidum,vivace,variable,faible,Aldéhydes dominants très puissants: micro-dose.
Gaïac (bois),Guaiacum officinale,Zygophyllaceae,aromatique,Caraïbes,forêts sèches,"bois fumé doux (sans fumée), cireux, médicinal",guaiol; sesquiterpènes (variable),bois; disparition,bois; résine (tradition),bois clair; base encens/espace,Plantae,Magnoliophyta,Magnoliopsida,Zygophyllales,Guaiacum,officinale,arbre,variable,huile: 0.5–2%,Espèce menacée dans plusieurs zones: sourcing très prudent.
Amyris (bois),Amyris balsamifera,Rutaceae,aromatique,Caraïbes,forêts sèches,"bois doux, sec, légèrement citronné",elemol; valerianol; sesquiterpènes,bois,parfumerie (substitut santal),structure douce; 'bois ventilé',Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Amyris,balsamifera,arbre,variable,1–3%,Souvent appelé 'West Indian sandalwood' (mais ce n’est pas un santal).
Canella (écorce),Canella winterana,Canellaceae,aromatique,Caraïbes,forêts côtières,"cannelle salée, poivrée, sèche",eugenol (variable); cinnamaldehyde (variable),bois; vent,épice; médecine populaire,structure épicée sèche,Plantae,Magnoliophyta,Magnoliopsida,Canellales,Canella,winterana,arbre,variable,faible,Profil moléculaire variable: confirmer par analyse locale.
Pimenta dioica (allspice),Pimenta dioica,Myrtaceae,aromatique,Caraïbes,forêts sèches,"épice sèche, baie, clou","eugenol; myrcene; 1,8-cineole (variable)",bois,épice; baumes,support épicé sec (micro-dose),Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Pimenta,dioica,arbre,variable,1–4%,Très puissant: limiter pour éviter effet cuisine.
Bois de mastic caribéen,Bursera simaruba,Burseraceae,aromatique,Caraïbes; Colombie,forêts sèches tropicales,"résine claire, bois, citron discret",alpha-pinene; limonene; résines,vent; bois,baume; résine,encens clair; purge,Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Bursera,simaruba,arbre,variable,résine,Souvent non distillé en parfumerie: potentiel de 'résine fantôme'.
Encens ouest-africain,Boswellia dalzielii,Burseraceae,aromatique,Burkina Faso; Sahel,savane sèche,"résine claire, citronnée, sèche",alpha-pinene; limonene; monoterpènes,vent; bois,fumigation; rituels,encens de seuil; purge,Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Boswellia,dalzielii,arbre,variable,résine,Composition donnée = profil monoterpénique typique; varie fortement.
Myrrhe africaine,Commiphora africana,Burseraceae,aromatique,Burkina Faso; Sahel,savane sèche,"résine sèche, amère, cuir léger",sesquiterpènes (à confirmer); résines aromatiques,bois; disparition,fumigation; médecine,structure; fermeture,Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Commiphora,africana,arbre,variable,résine,Profil chimique très variable selon espèce/zone: à analyser (GC-MS).
Poivre de Guinée (fruit),Xylopia aethiopica,Annonaceae,aromatique,Burkina Faso; Afrique de l’Ouest,savane et forêts-galeries,"poivré sec, fumigation, bois","beta-pinene; sabinene; 1,8-cineole (variable)",bois,épice; fumigation,structure sèche (micro-dose),Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,Xylopia,aethiopica,arbre,variable,0.5–2%,Olfaction très 'sec': excellent pour encens non sucré.
Lippia d'Afrique de l'Ouest,Lippia multiflora,Verbenaceae,aromatique,Burkina Faso; Afrique de l’Ouest,"savane, zones ouvertes","thé citronné sec, herbacé",citral (variable); limonene; carvone (selon chémotype),vent,infusion; médecine traditionnelle,vent habité; coupe aérienne,Plantae,Magnoliophyta,Magnoliopsida,Lamiales,Lippia,multiflora,vivace,variable,0.2–1%,Chémotypes multiples: bon modèle de 'variété fantôme'.
Citronnelle africaine,Cymbopogon giganteus,Poaceae,aromatique,Burkina Faso; Sahel,savane sèche,"citron sec, camphré léger, aéré",p-menthadienol (variable); limonene; monoterpènes,vent,infusion; répulsif,vent/purge en encens,Plantae,Magnoliophyta,Liliopsida,Poales,Cymbopogon,giganteus,vivace,variable,0.2–1%,Moins 'citral' que C. citratus: intéressant pour éviter l’effet savon.
Basilic clou de girofle,Ocimum gratissimum,Lamiaceae,aromatique,Burkina Faso; Afrique de l’Ouest,"jardins, zones habitées","épice verte, clou, herbacé",eugenol (chémotype); thymol (chémotype),bois; vent,cuisine; médecine,support épicé vert (micro-dose),Plantae,Magnoliophyta,Magnoliopsida,Lamiales,Ocimum,gratissimum,vivace,variable,0.5–2%,Deux grands chémotypes (eugenol vs thymol): documenter localement.
Hyptis (menthe sauvage),Hyptis suaveolens,Lamiaceae,aromatique,Burkina Faso; Afrique de l’Ouest,"savane, friches","menthé sec, camphré, vert","1,8-cineole; sabinene; monoterpènes (variable)",vent,infusion; médecine populaire,vent sec; purge,Plantae,Magnoliophyta,Magnoliopsida,Lamiales,Hyptis,suaveolens,vivace,variable,0.2–1%,Profil extrêmement variable selon saison.
Priprioca (rhizome),Cyperus articulatus,Cyperaceae,aromatique,Burkina Faso; Amazonie (écotypes),zones humides saisonnières,"terreux, boisé, racine sèche","sesquiterpènes (cyperone, etc. à confirmer)",bois,parfumerie locale; médecine,ancrage spatial; base sèche,Plantae,Magnoliophyta,Liliopsida,Poales,Cyperus,articulatus,vivace,variable,0.3–1%,Nom vernaculaire variable; confirmer espèce exacte au terrain.
Vétiver ouest-africain,Chrysopogon nigritanus,Poaceae,aromatique,Burkina Faso,"zones sèches, savane","terreux sec, racine, poussière",khusimol; vetiverol; sesquiterpènes,bois,construction; rituels,ancrage; espace,Plantae,Magnoliophyta,Liliopsida,Poales,Chrysopogon,nigritanus,vivace,saison sèche,0.5–1%,Souvent éclipsé par C. zizanioides: potentiel 'fantôme' régional.
Violet tree (racine),Securidaca longepedunculata,Polygalaceae,aromatique,Burkina Faso; Afrique de l’Ouest,savane sèche,"médicinal, hivernal, 'wintergreen'",methyl salicylate (marqueur),vent; disparition,médecine traditionnelle,coupe froide; seuil,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Securidaca,longepedunculata,arbre/arbuste,variable,faible,Odeur très caractéristique; usage en trace pour éviter effet liniment.
Silphium (disparu),Silphium sp.,Asteraceae,aromatique,Afrique du Nord antique (disparue),zones sèches méditerranéennes,"résine chaude, verte, animale (hypothèse)",profil résineux supposé (à reconstruire),bois; disparition,médicine antique; parfum antique,archive fantôme; reconstruction,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Silphium,sp.,disparue,antiquité,n/a,Espèce considérée disparue; entrée = objet d’archive/reconstruction (pas sourcing).
Maripa (résine/copal),Daniellia oliveri,Fabaceae,aromatique,Burkina Faso; Afrique de l’Ouest,savane,"résine claire, bois sec, encens léger",sesquiterpènes (variable); résines aromatiques,bois; vent,résine; fumigation,encens clair; support,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Daniellia,oliveri,arbre,variable,résine,Résine locale parfois appelée copal: identité à vérifier au marché.
Feuille de goyave,Psidium guajava,Myrtaceae,aromatique,Caraïbes; Colombie,"jardins, zones humides","vert médicinal, fruit sec, feuille",aldehydes; terpenes (variables),vent,médecine populaire,vent feuille; texture,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Psidium,guajava,arbre,variable,faible,Très dépendant du stade feuille: bon candidat 'fantôme'.
Bay rum (feuille),Pimenta racemosa,Myrtaceae,aromatique,Caraïbes; Colombie (îles),zones côtières ventilées,"épice feuille chaude, clou, baie",eugenol; myrcene; chavicol (variable),bois; vent,bay rum; tradition caribéenne,support épicé sec,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Pimenta,racemosa,arbre,variable,1–3%,Très bon marqueur caribéen; micro-dose pour éviter effet 'clou'.
