name,family,chemicalFormula,olfactiveProfile,emotionalResonance,functionalEffect,sourceOrigin,concentration,notes,molecularWeight,boilingPoint,logP,volatility,intensity,complexity,botanicalSources,extractionMethod,therapeuticProperties,radarIntensity,radarFreshness,radarWarmth,radarSweetness,radarSpiciness,radarEarthiness
Coumarine,Lactone,C9H6O2,"Odeur douce de foin coupé, vanillée, légèrement amandée. Note chaude et enveloppante caractéristique des fougères aromatiques.","Réconfort, nostalgie, douceur champêtre","Fixateur, note de fond, apporte rondeur et profondeur","Fève Tonka, Aspérule odorante, Mélilot","0.5-2%","Molécule emblématique des parfums fougère, interdite en cosmétique pure mais autorisée dans les extraits naturels",146,298,180,30,75,60,"Fève Tonka, Aspérule, Mélilot","Extraction par solvants, Synthèse","Anticoagulant (usage médical), Relaxant",75,20,80,70,15,25
Héliotropine,Aldéhyde,C8H6O3,"Odeur poudrée d'amande amère, héliotrope, vanille. Note florale-poudrée caractéristique, légèrement anisée.","Douceur, innocence, nostalgie de l'enfance","Note de cœur, apporte caractère poudré et floral","Héliotrope, Vanille, Cerise","0.1-1%","Aussi appelée pipéronal, utilisée dans les accords poudrés et floraux orientaux",150,263,150,35,70,65,"Héliotrope, Sassafras","Synthèse, Extraction","Répulsif insectes (usage technique)",70,15,60,85,10,20
Aldéhyde C-12 MNA,Aldéhyde,C13H26O,"Odeur métallique-aldéhydique, cireuse, légèrement fruitée. Note caractéristique des parfums aldéhydés modernes.","Élégance, modernité, sophistication","Note de tête, effet pétillant et aérien","Synthèse chimique","0.01-0.1%","Aldéhyde emblématique des parfums aldéhydés type Chanel N°5, apporte brillance et lift",198,270,500,40,90,70,"Synthétique","Synthèse organique","Aucune propriété thérapeutique connue",90,75,20,30,5,10
Aldéhyde C-14 (Gamma-Undécalactone),Lactone,C11H20O2,"Odeur fruitée de pêche mûre, abricot, noix de coco. Note lactée-crémeuse très caractéristique.","Gourmandise, sensualité, douceur fruitée","Note de cœur, apporte rondeur fruitée","Pêche, Abricot, Noix de coco","0.1-0.5%","Lactone très utilisée dans les accords fruités et gourmands modernes",184,285,350,35,80,55,"Fruits à noyau, Noix de coco","Synthèse, Extraction","Aucune propriété thérapeutique connue",80,25,55,90,5,15
Benzyle Salicylate,Ester,C14H12O3,"Odeur florale-balsamique, légèrement anisée. Note de fond fixatrice avec nuances de fleurs blanches.","Chaleur, sensualité, profondeur florale","Fixateur, note de fond, apporte volume","Ylang-Ylang, Œillet, Jasmin","1-5%","Excellent fixateur très utilisé, apporte corps et tenue aux compositions florales",228,320,380,25,60,50,"Ylang-Ylang, Œillet","Synthèse","Anti-UV (usage cosmétique)",60,20,65,75,10,30
Calone 1951,Cétone,C11H16O2,"Odeur marine-aquatique, ozonnée, pastèque verte. Note très fraîche et aqueuse caractéristique.","Fraîcheur océanique, pureté, modernité","Note de tête, effet aquatique et marin","Synthèse chimique (accord marin)","0.001-0.01%","Molécule révolutionnaire des années 90, créatrice de la famille marine-aquatique",180,245,280,45,95,75,"Synthétique","Synthèse organique","Aucune propriété thérapeutique connue",95,95,5,20,0,5
Cashmeran,Cétone polycyclique,C14H22O,"Odeur boisée-musquée, cachemire, velours. Note de fond enveloppante et douce, légèrement ambrée.","Confort, douceur tactile, luxe feutré","Note de fond, apporte douceur boisée","Synthèse chimique","0.5-3%","Molécule signature des accords boisés modernes, évoque la douceur du cachemire",206,295,450,30,70,80,"Synthétique","Synthèse organique","Aucune propriété thérapeutique connue",70,10,75,60,15,55
Iso E Super,Cétone,C16H26O,"Odeur boisée-ambrée, cèdre, velours. Note de fond très diffusive et enveloppante, légèrement animale.","Sensualité, mystère, chaleur corporelle","Note de fond, amplificateur olfactif","Synthèse chimique","5-20%","Molécule culte de la parfumerie moderne, utilisée en forte dose dans Escentric Molecules",234,310,520,25,85,75,"Synthétique","Synthèse organique","Aucune propriété thérapeutique connue",85,5,85,40,10,60
Ambroxan,Éther,C16H28O,"Odeur ambrée-marine, ambre gris, tabac blond. Note de fond lumineuse et diffusive, légèrement salée.","Chaleur solaire, sensualité marine, luminosité","Note de fond, apporte diffusion et radiance","Ambre gris (naturel), Synthèse (Ambrox)","1-10%","Substitut synthétique de l'ambre gris, molécule signature de la parfumerie marine moderne",236,315,480,25,80,70,"Ambre gris, Sauge sclarée (précurseur)","Synthèse, Biotechnologie","Aucune propriété thérapeutique connue",80,30,80,50,5,40
Galaxolide,Lactone macrocyclique,C18H26O,"Odeur musquée-poudrée, musc blanc, linge propre. Note de fond très diffusive et tenace.","Propreté, douceur, intimité","Fixateur musqué, note de fond","Synthèse chimique","2-10%","Musc synthétique très utilisé dans les lessives et cosmétiques, controversé (perturbateur endocrinien potentiel)",258,335,580,20,75,60,"Synthétique","Synthèse organique","Aucune propriété thérapeutique connue",75,40,50,70,5,20
Hedione,Ester,C12H18O3,"Odeur jasmin, fraîche-florale, transparente. Note de cœur aérienne et lumineuse, légèrement citronnée.","Légèreté, transparence, élégance florale","Note de cœur, apporte transparence","Jasmin (synthétique)","1-5%","Molécule signature du jasmin moderne, utilisée dans Eau Sauvage de Dior",210,285,320,35,70,65,"Synthétique (accord jasmin)","Synthèse organique","Aucune propriété thérapeutique connue",70,70,30,80,5,10
Methyl Dihydrojasmonate,Ester,C13H22O3,"Odeur jasmin, fruitée-florale, fraîche. Note de cœur caractéristique du jasmin avec nuances de fruits rouges.","Féminité, sensualité florale, fraîcheur","Note de cœur, apporte caractère jasmin","Jasmin (synthétique)","0.5-3%","Aussi appelé Hedione HC, version plus fruitée de l'Hedione classique",226,295,350,35,75,70,"Synthétique (accord jasmin)","Synthèse organique","Aucune propriété thérapeutique connue",75,65,35,85,5,15
Aldéhyde C-11 Undécylénique,Aldéhyde,C11H20O,"Odeur aldéhydique-cireuse, mandarine, coriandre. Note de tête métallique et verte, légèrement fruitée.","Fraîcheur métallique, modernité, pétillance","Note de tête, effet aldéhydé","Synthèse chimique","0.01-0.1%","Aldéhyde utilisé dans les accords hespéridés et verts modernes",168,245,420,45,85,65,"Synthétique","Synthèse organique","Aucune propriété thérapeutique connue",85,80,15,25,10,5
Aldéhyde C-18 (Gamma-Nonalactone),Lactone,C9H16O2,"Odeur noix de coco, lactée-crémeuse, pêche. Note de cœur gourmande et tropicale très caractéristique.","Gourmandise tropicale, douceur lactée, exotisme","Note de cœur, apporte rondeur crémeuse","Noix de coco, Pêche","0.1-0.5%","Lactone emblématique des accords tropicaux et gourmands, très utilisée en cosmétique",156,265,320,40,85,60,"Noix de coco, Fruits tropicaux","Synthèse, Extraction","Aucune propriété thérapeutique connue",85,20,60,95,5,10
Cis-3-Hexénol,Alcool,C6H12O,"Odeur herbe coupée, verte, fraîche. Note de tête très caractéristique de la végétation fraîchement coupée.","Fraîcheur végétale, nature, vitalité","Note de tête, effet vert naturel","Herbe, Feuilles vertes","0.01-0.1%","Molécule signature de l'odeur d'herbe coupée, très utilisée dans les accords verts",100,157,180,75,90,40,"Herbe, Feuilles, Thé vert","Extraction, Synthèse","Répulsif insectes naturel",90,95,5,15,5,25
Damascone Alpha,Cétone,C13H18O,"Odeur rose, fruitée-florale, prune. Note de cœur caractéristique de la rose avec nuances de fruits noirs.","Élégance florale, sensualité fruitée, profondeur","Note de cœur, apporte caractère rose","Rose, Prune","0.001-0.01%","Molécule très puissante de la rose, utilisée en traces pour apporter profondeur",190,280,380,35,95,80,"Rose de Damas, Prune","Extraction, Synthèse","Aucune propriété thérapeutique connue",95,30,50,85,10,20
Damascone Beta,Cétone,C13H18O,"Odeur rose, miel, tabac. Note de cœur riche et complexe, légèrement animale et miellée.","Sensualité, richesse florale, profondeur animale","Note de cœur-fond, apporte complexité","Rose, Miel, Tabac","0.001-0.01%","Isomère du Damascone Alpha, encore plus riche et complexe, signature des roses naturelles",190,285,390,35,95,85,"Rose de Damas, Miel","Extraction, Synthèse","Aucune propriété thérapeutique connue",95,20,60,80,15,35
Ethyl Maltol,Pyrone,C7H8O3,"Odeur caramel, sucre brûlé, barbe à papa. Note de cœur-fond gourmande très sucrée et enveloppante.","Gourmandise, réconfort sucré, nostalgie","Note de cœur-fond, apporte sucrosité","Synthèse chimique","0.1-1%","Molécule très utilisée dans les parfums gourmands modernes, amplificateur de douceur",140,268,120,40,85,50,"Synthétique","Synthèse organique","Exhausteur de goût (usage alimentaire)",85,10,70,95,5,15
Floralozone,Cétone,C13H18O2,"Odeur florale-ozonnée, muguet, marine. Note de cœur fraîche et aqueuse avec nuances florales.","Fraîcheur florale, pureté, modernité aquatique","Note de cœur, effet floral-aquatique","Synthèse chimique","0.01-0.1%","Molécule moderne combinant aspects floraux et aquatiques, très utilisée dans les parfums frais",206,275,320,40,80,70,"Synthétique","Synthèse organique","Aucune propriété thérapeutique connue",80,85,15,70,5,10
Fructone,Lactone,C6H8O2,"Odeur fruitée, ananas, fraise. Note de tête-cœur très fruitée et juteuse, légèrement verte.","Vitalité fruitée, fraîcheur juteuse, jeunesse","Note de tête-cœur, apporte caractère fruité","Ananas, Fraise","0.01-0.1%","Molécule très puissante des accords fruités modernes, apporte jutosité",112,185,150,60,90,55,"Synthétique","Synthèse organique","Aucune propriété thérapeutique connue",90,75,20,90,5,5
Georgywood,Sesquiterpène,C15H24,"Odeur boisée, cèdre, ambrée. Note de fond diffusive et moderne, légèrement épicée.","Élégance boisée, modernité, chaleur","Note de fond, apporte diffusion boisée","Synthèse chimique","1-10%","Molécule boisée moderne très diffusive, alternative au Iso E Super",204,295,480,30,75,75,"Synthétique","Synthèse organique","Aucune propriété thérapeutique connue",75,15,80,45,20,65
