plant_id,reference_id,role
pl-cannabis-sativa,can-2025-nat-pangenome,genomics
pl-cannabis-sativa,can-2025-g3-triobin,genomics
pl-cannabis-sativa,can-2021-nph-cbdrx,genomics
pl-cannabis-sativa,can-2015-nph-dupdiv,genomics
pl-cannabis-sativa,can-2020-plphys-tps,genomics
pl-cannabis-sativa,can-2021-sciadv-domestication,genomics
pl-cannabis-sativa,can-2024-scidata-pinkpepper,genomics
pl-cannabis-sativa,can-2024-copbiotrichomes,genomics
pl-cannabis-sativa,can-2019-scirep-atlas,genomics
pl-cannabis-sativa,can-2024-bmcplbiol-epigen,genomics
pl-cannabis-sativa,can-2024-bmcgen-hempmari,genomics
pl-cannabis-sativa,can-2021-frontiers-govprod,genomics
pl-cannabis-sativa,can-2024-gen-taxonomy,genomics
pl-cannabis-sativa,db-ncbi-cannabis-cs10,genomics
pl-nicotiana-tabacum,tob-2025-natgen-genebank,genomics
pl-nicotiana-tabacum,tob-2024-scidata-assemblies,genomics
pl-nicotiana-tabacum,tob-2024-molp-defense,genomics
pl-nicotiana-tabacum,tob-2024-frontiers-genomeseq,genomics
pl-nicotiana-tabacum,tob-2013-genetics-alkaloids,genomics
pl-nicotiana-tabacum,tob-2025-scidata-transcriptome,genomics
pl-nicotiana-tabacum,tob-2021-nph-scentsinglecell,genomics
pl-nicotiana-tabacum,tob-2025-biorxiv-attenuata-t2t,genomics
pl-nicotiana-tabacum,db-sgn-nicotiana-attenuata,genomics
pl-nicotiana-tabacum,db-nadh-attenuata,genomics
pl-nicotiana-tabacum,db-ensemblplants-attenuata,genomics
pl-nicotiana-tabacum,db-kegg-attenuata,genomics
