Gène,Sous-famille,Classe,Substrat,Terpène Produit,Notes Olfactives
CsTPS1,TPS-b,Monoterpènes (C10),GPP (Geranyl diphosphate),Myrcène,"Terreux, herbacé"
CsTPS2,TPS-b,Monoterpènes (C10),GPP (Geranyl diphosphate),Limonène,"Citrus, frais"
CsTPS3,TPS-b,Monoterpènes (C10),GPP (Geranyl diphosphate),α-Pinène,"Pin, résineux"
CsTPS4,TPS-b,Monoterpènes (C10),GPP (Geranyl diphosphate),β-Pinène,"Pin, boisé"
CsTPS5,TPS-b,Monoterpènes (C10),GPP (Geranyl diphosphate),Linalool,"Floral, lavande"
CsTPS6,TPS-b,Monoterpènes (C10),GPP (Geranyl diphosphate),Terpinolène,"Floral, pin"
CsTPS7,TPS-b,Monoterpènes (C10),GPP (Geranyl diphosphate),Ocimène,"Floral, herbacé"
CsTPS8,TPS-b,Monoterpènes (C10),GPP (Geranyl diphosphate),Géraniol,"Rose, floral"
CsTPS9,TPS-b,Monoterpènes (C10),GPP (Geranyl diphosphate),"1,8-Cinéole","Eucalyptus, camphré"
CsTPS10,TPS-b,Monoterpènes (C10),GPP (Geranyl diphosphate),Camphre,"Camphré, frais"
CsTPS11,TPS-b,Monoterpènes (C10),GPP (Geranyl diphosphate),Bornéol,"Camphré, pin, terreux"
CsTPS12,TPS-b,Monoterpènes (C10),GPP (Geranyl diphosphate),Camphène,"Camphré, pin"
CsTPS13,TPS-b,Monoterpènes (C10),GPP (Geranyl diphosphate),Fenchol,"Camphré, citrus"
CsTPS14,TPS-b,Monoterpènes (C10),GPP (Geranyl diphosphate),Fenchone,"Camphré, amer"
CsTPS20,TPS-a,Sesquiterpènes (C15),FPP (Farnesyl diphosphate),β-Caryophyllène,"Épicé, poivré, boisé"
CsTPS21,TPS-a,Sesquiterpènes (C15),FPP (Farnesyl diphosphate),α-Humulène,"Boisé, terreux, houblon"
CsTPS22,TPS-a,Sesquiterpènes (C15),FPP (Farnesyl diphosphate),Nerolidol,"Floral, boisé, agrumes"
CsTPS23,TPS-a,Sesquiterpènes (C15),FPP (Farnesyl diphosphate),Bisabolol,"Floral, camomille"
CsTPS24,TPS-a,Sesquiterpènes (C15),FPP (Farnesyl diphosphate),Guaiol,"Boisé, rose"
CsTPS25,TPS-a,Sesquiterpènes (C15),FPP (Farnesyl diphosphate),Cédrol,"Boisé, cèdre"
CsTPS26,TPS-a,Sesquiterpènes (C15),FPP (Farnesyl diphosphate),Farnesène,"Herbacé, boisé"
CsTPS27,TPS-a,Sesquiterpènes (C15),FPP (Farnesyl diphosphate),Bergamotène,"Boisé, épicé"
CsTPS40,TPS-c,Diterpènes (C20),GGPP (Geranylgeranyl diphosphate),Phytol,"Floral, balsamique"
CsTPS41,TPS-c,Diterpènes (C20),GGPP (Geranylgeranyl diphosphate),Cembratriène,"Boisé, résineux"
