Auteur,Titre,Type,Idée clé,Application Perfumeum,Statut
Alain Corbin,Le miasme et la jonquille,Livre,L’odeur comme marqueur moral,Chapitre mémoire 2,✅
Annick Le Guérer,Les pouvoirs de l’odeur,Livre,L’odorat = émotion et mémoire,Chapitre mémoire 1,⏳
Clara Muller,Les dispositifs olfactifs au musée,Article,Scénographie sensorielle,Chapitre mémoire 3,📘
Gernot Böhme,Atmosphäre,Livre,Théorie des atmosphères comme catégorie esthétique,Fondement théorique,✅
Jim Drobnick,The Smell Culture Reader,Anthologie,Arts olfactifs et culture sensorielle,Chapitre mémoire 2,⏳
Sissel Tolaas,Smell RE_searchLab,Projet de recherche,Cartographie olfactive urbaine,Méthodologie terrain,📘
Maurice Merleau-Ponty,Phénoménologie de la perception,Livre,Corps percevant et perception incarnée,Chapitre mémoire 1,✅
David Howes,Sensual Relations,Livre,Anthropologie des sens,Cadre anthropologique,⏳
Dominique Roques,Le parfum de l'origine,Livre,Matières premières et terroirs olfactifs,Sourcing matières,⏳
Jacques Derrida,Mal d'archive,Essai,Impossibilité et nécessité de l'archive,Chapitre mémoire 3,📘
