Landrace,Région,Type,Rareté (1-10),Terpène Dominant,Notes Olfactives,Produits Pyrolyse,Arômes Fumée,Particularité
Angola Red / Angola Roja,Afrique Centrale,Sativa,10,β-Caryophyllène,"Épicé, Boisé, Terreux","HAP (hydrocarbures aromatiques polycycliques), Composés sesquiterpéniques oxydés","Épicé intense, Boisé fumé",Sesquiterpènes élevés produisent des HAP significatifs mais fumée très aromatiqu...
Lebanese Red,Moyen-Orient,Indica/Sativa hybride naturel,9,Myrcène,"Terreux, Épicé, Cèdre","Méthacroléine, Composés terpéniques oxydés","Cèdre fumé, Épicé",Combinaison unique myrcène/pinène produit une fumée résineuse caractéristique
Thai / Thai Stick,Asie du Sud-Est,Sativa,9,Limonène,"Citrus, Terreux, Floral","Isoprène (du limonène), Benzène","Citrus brûlé, Floral fumé",Profil terpénique complexe produit une fumée aromatique distinctive
Panama Red,Amérique Centrale,Sativa,9,β-Caryophyllène,"Épicé, Citrus, Terreux","HAP, Composés sesquiterpéniques oxydés","Épicé intense, Citrus fumé",Sesquiterpènes dominants produisent une fumée épicée distinctive
Malawi Gold,Afrique de l'Est,Sativa,8,Terpinolène,"Floral, Pin, Herbacé","Composés aromatiques cycliques, Aldéhydes","Floral intense, Pin brûlé",Terpinolène élevé produit une fumée florale distinctive
Colombian Gold,Amérique du Sud,Sativa,8,Limonène,"Citrus, Skunk, Terreux","Isoprène, Méthacroléine","Citrus intense, Skunk fumé",Profil skunk unique persiste à la combustion
Afghan Kush / Afghani,Asie Centrale,Indica,7,Myrcène,"Terreux, Musqué, Épicé","Méthacroléine (du myrcène), HAP (du caryophyllène)","Terreux intense, Épicé",Forte concentration en myrcène produit des niveaux élevés de méthacroléine
Acapulco Gold,Amérique Centrale,Sativa,7,β-Caryophyllène,"Épicé, Citrus, Caramel","HAP, Isoprène","Épicé doux, Caramel fumé",Notes de caramel uniques partiellement préservées à la combustion
Oaxacan / Oaxaca Gold,Amérique Centrale,Sativa,7,Limonène,"Citrus, Terreux, Floral","Isoprène, Composés aromatiques","Citrus brûlé, Floral fumé",Linalool préserve partiellement les notes florales à la combustion
Durban Poison,Afrique du Sud,Sativa,6,Terpinolène,"Anis, Réglisse, Pin","Composés phénoliques, Méthacroléine","Anis fumé, Réglisse",Profil unique anis/réglisse persiste partiellement à la combustion
Hindu Kush,Asie Centrale,Indica,6,Myrcène,"Terreux, Pin, Épicé","Méthacroléine, Composés terpéniques oxydés","Terreux intense, Pin fumé",Myrcène très élevé produit une fumée terreuse puissante
