source_id,title,lang,published_at,author,categories,themes,url
NEZ_2024_04_07_INSULIN,Nez x GDR O3 – De l’olfaction à la production d’insuline,fr,2024-04-07,Jessica Mignot,Nez x GDR O3;Science;Culture olfactive,CNRS;University College London;odorat;Santé;GDR O3;Hirac Gurden,https://mag.bynez.com/nez-x-gdr-o3/nez-x-gdr-o3-de-lolfaction-a-la-production-dinsuline/
NEZ_2024_01_16_RECEPTORS_STRUCTURE_EN,Nez x GDR O3 – The structure of olfactory receptors laid bare,en,2024-01-16,(see article page),Nez x GDR O3;Science;Olfactory Culture,OR51E2;cryo-EM;receptors;GDR O3,https://mag.bynez.com/en/nez-x-gdr-o3-en/nez-x-gdr-o3-the-structure-of-olfactory-receptors-laid-bare/
NEZ_2023_12_28_POSITIVE_EMOTIONS_FR,Nez x GDR O3 – Les émotions positives dans l’air ambiant : and I’m smelling good,fr,2023-12-28,Jessica Mignot,Nez x GDR O3;Science;Culture olfactive,Neurosciences;GDR O3;CNRS;Camille Ferdenzi;Olfaction;Parfums,https://mag.bynez.com/nez-x-gdr-o3/nez-x-gdr-o3-les-emotions-positives-dans-lair-ambiant-and-im-smelling-good/
NEZ_2023_12_28_POSITIVE_EMOTIONS_EN,Nez x GDR O3 – Smelling positive emotions in the surrounding air: I feel good!,en,2023-12-28,Jessica Mignot,News;Nez x GDR O3;Olfactory Culture;Science,Camille Ferdenzi;CNRS;GDR O3;Neuroscience;Perfumes;Smell,https://mag.bynez.com/en/nez-x-gdr-o3-en/nez-x-gdr-o3-smelling-positive-emotions-in-the-surrounding-air-i-feel-good/
NEZ_2024_03_26_ANIMAL_NOSES_FR,Nez x GDR O3 – De la grande variété des nez animaux,fr,2024-03-26,(see article page),Nez x GDR O3;Science;Culture olfactive,CO2;pollution plastique;éthologie,https://mag.bynez.com/nez-x-gdr-o3/nez-x-gdr-o3-de-la-grande-variete-des-nez-animaux/
NEZ_2024_07_12_CIHA_SMELLSCAPE_FR,36e congrès du Comité international d’histoire de l’art : la part belle aux pratiques olfactives,fr,2024-07-12,(see article page),Art;Actualités,smellscape;mémoire distribuée;colonialisme;post-colonialisme,https://mag.bynez.com/art/36e-congres-du-comite-international-dhistoire-de-lart-la-part-belle-aux-pratiques-olfactives/
NEZ_2024_12_19_OAKMOSS_IFRA_EN,Oakmoss: an exemplary case of IFRA's role,en,2024-12-19,(see article page),Perfume,IFRA;oakmoss;atranol;chloroatranol;EU regulation,https://mag.bynez.com/en/perfume/oakmoss-an-exemplary-case-of-ifras-role/
NEZ_2025_07_21_EUROFRAGANCE_EN,Technical expertise and creativity: applied research at Eurofragance,en,2025-07-21,(see article page),Perfume,formulation science;water-based fragrance;freshness,https://mag.bynez.com/en/perfume/technical-expertise-and-creativity-applied-research-at-eurofragance/
NEZ_2020_09_21_CO2_EXTRACTION_EN,Supercritical CO₂ extraction – Cyrille Santerre (ISIPCA),en,2020-09-21,(see article page),Interviews,Natural raw materials;Supercritical CO2 extraction;Isipca,https://mag.bynez.com/en/interviews/supercritical-co2-extraction-cyrille-santerre-isipca/
EXT_PDB_8F76_OR51E2,Human olfactory receptor OR51E2 bound to propionate (PDB 8F76),en,,RCSB PDB,External Reference,OR51E2;cryo-EM;propionate;structure,https://www.rcsb.org/structure/8f76
NEZ_2021_06_09_NATURAL_DEFINITIONS_EN,The many facets of natural perfumery: some useful definitions,en,2021-06-09,Jeanne Doré; Anne-Sophie Hojlo,Natural perfumers;Perfume,Cosmos Organic;Cosmos Natural;ISO 9235;ISO 16128;certifications,https://mag.bynez.com/en/reports/natural-perfumers/the-many-facets-of-natural-perfumery-some-useful-definitions/
NEZ_2023_05_18_FIRMENICH_FIRGOOD_EN,Natural extraction over the next decade by Firmenich,en,2023-05-18,Aurélie Dematons,News;Perfume;Science,dsm-firmenich;Firgood;microwave-assisted extraction;SIMPPAR,https://mag.bynez.com/en/perfume/natural-extraction-over-the-next-decade-by-firmenich/
NEZ_2020_06_04_JUNGLE_ESSENCE_EN,Jungle Essence technology (Mane) – more real than nature itself,en,2020-06-04,(see article page),Perfume,Mane;Jungle Essence;low temperature extraction;realism,https://mag.bynez.com/en/perfume/jungle-essence-technology-mane-more-real-than-nature-itself/
