Nom,Description,Famille,Molécule clé,URL,Émotion
Linalol,"doux, lavandé, transparent",Florale,C10H18O,,“respiration ouverte”
Ambroxan,"chaud, velouté, diffusant",Ambrée / Boisée,C16H28O,,“chaleur du silence”
Hexanoic acid,"fermentée, laiteuse, charnelle",Organique / Cheese,C6H12O2,,“matérialité du vivant”
,,,,,
,,,,,
Manuel extraction terpènes CBD,,,,https://chatgpt.com/s/t_691d1a2f8d288191bc98fcaac9644394,
Calone,"aquatique, maritime, ozone",Aquatique / Marine,C11H16O2,,"""air marin"""
Skatole,"fécal, tabac, cuir",Organique / Animalière,C9H9N,,"""matérialité brute"""
Vetiverol,"racine, fumé, vertical",Boisée / Verte,C15H26O,,"""ancrage tellurique"""
Cedrol,"cèdre, sec, enveloppant",Boisée / Sèche,C15H26O,,"""chaleur sèche"""
Iso E Super,"boisé, diffusant, halo",Boisée / Ambrée,C16H26O,,"""présence discrète"""
Indole,"fécal, floral, animalier",Organique / Animalière,C8H7N,,"""intimité troublante"""
Coumarin,"foin coupé, doux, poudreux",Florale / Poudrée,C9H6O2,,"""nostalgie douce"""
β-Damascenone,"rose, fruité, complexe",Florale / Fruitée,C13H18O,,"""élégance fugace"""
Geosmin,"terreux, humide, pétrichor",Terreuse / Minérale,C12H22O,,"""mémoire de la pluie"""
α-Pinene,"pin, résine, forêt",Conifère / Résineuse,C10H16,,"""respiration forestière"""
