name,latin_name,family,category,origin,habitat,olfactive_signature,dominant_molecules,climatic_axis,traditional_use,absorbe_use,kingdom,division,class,order_name,genus,species,life_cycle,harvest_period,essential_oil_yield,notes
Ambrette sauvage #1,Abelmoschus moschatus,Malvaceae,aromatique,Colombie; Burkina Faso,jachères tropicales,"musqué végétal, peau, poudré",ambrettolide; farnesol,peau; disparition,médecine traditionnelle,régulation sociale,Plantae,Magnoliophyta,Magnoliopsida,Malvales,Abelmoschus,moschatus,annuelle,automne,0.2–0.6%,Variété fantôme locale
Tabac criollo fantôme #2,Nicotiana tabacum,Solanaceae,tabac,Colombie Caraïbe,cultures domestiques ventilées,"foin sec, feuille chaude",megastigmatrienone; solanone,bois; disparition,usage social,architecture du temps,Plantae,Magnoliophyta,Magnoliopsida,Solanales,Nicotiana,tabacum,annuelle,variable,0.1–0.3%,Non standardisé
Cannabis feuille sèche #3,Cannabis sativa,Cannabaceae,cannabis,Colombie; Burkina Faso,zones rurales,"vert sec, piné",pinene; terpinolene,vent; disparition,usage local,modulation perceptive,Plantae,Magnoliophyta,Magnoliopsida,Rosales,Cannabis,sativa,annuelle,variable,<0.1%,Partie feuille privilégiée
Lippia sauvage #4,Lippia alba,Verbenaceae,aromatique,Colombie,zones tropicales ouvertes,"citronné sec, herbacé",citral; carvone,vent,médecine traditionnelle,coupe aérienne,Plantae,Magnoliophyta,Magnoliopsida,Lamiales,Lippia,alba,vivace,été,0.3–0.8%,Chémotypes multiples
Vetiver africain #5,Chrysopogon nigritanus,Poaceae,aromatique,Burkina Faso,zones sèches,"terreux sec, racine",vetiverol; khusimol,bois,rituel; construction,ancrage spatial,Plantae,Magnoliophyta,Magnoliopsida,Poales,Chrysopogon,nigritanus,vivace,saison sèche,0.5–1%,Peu documenté
Ambrette sauvage #6,Abelmoschus moschatus,Malvaceae,aromatique,Colombie; Burkina Faso,jachères tropicales,"musqué végétal, peau, poudré",ambrettolide; farnesol,peau; disparition,médecine traditionnelle,régulation sociale,Plantae,Magnoliophyta,Magnoliopsida,Malvales,Abelmoschus,moschatus,annuelle,automne,0.2–0.6%,Variété fantôme locale
Tabac criollo fantôme #7,Nicotiana tabacum,Solanaceae,tabac,Colombie Caraïbe,cultures domestiques ventilées,"foin sec, feuille chaude",megastigmatrienone; solanone,bois; disparition,usage social,architecture du temps,Plantae,Magnoliophyta,Magnoliopsida,Solanales,Nicotiana,tabacum,annuelle,variable,0.1–0.3%,Non standardisé
Cannabis feuille sèche #8,Cannabis sativa,Cannabaceae,cannabis,Colombie; Burkina Faso,zones rurales,"vert sec, piné",pinene; terpinolene,vent; disparition,usage local,modulation perceptive,Plantae,Magnoliophyta,Magnoliopsida,Rosales,Cannabis,sativa,annuelle,variable,<0.1%,Partie feuille privilégiée
Lippia sauvage #9,Lippia alba,Verbenaceae,aromatique,Colombie,zones tropicales ouvertes,"citronné sec, herbacé",citral; carvone,vent,médecine traditionnelle,coupe aérienne,Plantae,Magnoliophyta,Magnoliopsida,Lamiales,Lippia,alba,vivace,été,0.3–0.8%,Chémotypes multiples
Vetiver africain #10,Chrysopogon nigritanus,Poaceae,aromatique,Burkina Faso,zones sèches,"terreux sec, racine",vetiverol; khusimol,bois,rituel; construction,ancrage spatial,Plantae,Magnoliophyta,Magnoliopsida,Poales,Chrysopogon,nigritanus,vivace,saison sèche,0.5–1%,Peu documenté
Ambrette sauvage #11,Abelmoschus moschatus,Malvaceae,aromatique,Colombie; Burkina Faso,jachères tropicales,"musqué végétal, peau, poudré",ambrettolide; farnesol,peau; disparition,médecine traditionnelle,régulation sociale,Plantae,Magnoliophyta,Magnoliopsida,Malvales,Abelmoschus,moschatus,annuelle,automne,0.2–0.6%,Variété fantôme locale
Tabac criollo fantôme #12,Nicotiana tabacum,Solanaceae,tabac,Colombie Caraïbe,cultures domestiques ventilées,"foin sec, feuille chaude",megastigmatrienone; solanone,bois; disparition,usage social,architecture du temps,Plantae,Magnoliophyta,Magnoliopsida,Solanales,Nicotiana,tabacum,annuelle,variable,0.1–0.3%,Non standardisé
Cannabis feuille sèche #13,Cannabis sativa,Cannabaceae,cannabis,Colombie; Burkina Faso,zones rurales,"vert sec, piné",pinene; terpinolene,vent; disparition,usage local,modulation perceptive,Plantae,Magnoliophyta,Magnoliopsida,Rosales,Cannabis,sativa,annuelle,variable,<0.1%,Partie feuille privilégiée
Lippia sauvage #14,Lippia alba,Verbenaceae,aromatique,Colombie,zones tropicales ouvertes,"citronné sec, herbacé",citral; carvone,vent,médecine traditionnelle,coupe aérienne,Plantae,Magnoliophyta,Magnoliopsida,Lamiales,Lippia,alba,vivace,été,0.3–0.8%,Chémotypes multiples
Vetiver africain #15,Chrysopogon nigritanus,Poaceae,aromatique,Burkina Faso,zones sèches,"terreux sec, racine",vetiverol; khusimol,bois,rituel; construction,ancrage spatial,Plantae,Magnoliophyta,Magnoliopsida,Poales,Chrysopogon,nigritanus,vivace,saison sèche,0.5–1%,Peu documenté
Ambrette sauvage #16,Abelmoschus moschatus,Malvaceae,aromatique,Colombie; Burkina Faso,jachères tropicales,"musqué végétal, peau, poudré",ambrettolide; farnesol,peau; disparition,médecine traditionnelle,régulation sociale,Plantae,Magnoliophyta,Magnoliopsida,Malvales,Abelmoschus,moschatus,annuelle,automne,0.2–0.6%,Variété fantôme locale
