molecule_id,name,class,formula,notes
mol-thc,Δ9-THC,cannabinoid,C21H30O2,—
mol-thca,THCA,cannabinoid-acid,C22H30O4,Precursor of THC
mol-cbd,CBD,cannabinoid,C21H30O2,—
mol-cbda,CBDA,cannabinoid-acid,C22H30O4,Precursor of CBD
mol-cbg,CBG,cannabinoid,C21H32O2,—
mol-cbc,CBC,cannabinoid,C21H30O2,—
mol-myrcene,β-Myrcene,terpene,C10H16,Common cannabis terpene
mol-limonene,Limonene,terpene,C10H16,Citrus
mol-a-pinene,α-Pinene,terpene,C10H16,Pine
mol-b-caryophyllene,β-Caryophyllene,sesquiterpene,C15H24,Spicy/woody
mol-linalool,Linalool,terpene-alcohol,C10H18O,Floral
mol-terpinolene,Terpinolene,terpene,C10H16,Herbal/piney
mol-nicotine,Nicotine,alkaloid,C10H14N2,Major tobacco alkaloid
mol-nornicotine,Nornicotine,alkaloid,C9H12N2,Demethylated nicotine
mol-anatabine,Anatabine,alkaloid,C10H12N2,Minor alkaloid
mol-anabasine,Anabasine,alkaloid,C10H14N2,Minor alkaloid
mol-nnn,NNN (N'-Nitrosonornicotine),TSNA,,Tobacco-specific nitrosamine
mol-nnk,NNK (4-(Methylnitrosamino)-1-(3-pyridyl)-1-butanone),TSNA,,Tobacco-specific nitrosamine
