axis_id,slug,title_fr,title_en,novelty_tagline,ui_module,core_entities,kpis,default_filters_json,description_fr,description_en
AX_OLFACTION_METABOLISM,olfaction-metabolism-glp1,"Olfaction ↔ métabolisme (phase céphalique, GLP‑1, insuline)","Olfaction ↔ metabolism (cephalic phase, GLP‑1, insulin)",Traiter l’odeur comme déclencheur physiologique mesurable (avant ingestion).,ResearchAxisPage + StudyCards + Glossary + MechanismDiagram,"Study, Mechanism, Biomarker, OdorStimulus",CTR études; temps lecture; exports; sauvegardes,"{""categories"": [""Science"", ""Nez x GDR O3""], ""keywords"": [""GLP-1"", ""insulin"", ""bulbe olfactif""]}",Axe centré sur la communication nez-cerveau-organes (ex. pancréas) et les réponses métaboliques anticipatoires déclenchées par des odeurs alimentaires. Utile pour un chapitre 'olfaction & corps' et pour relier molécules/notes à des mécanismes (sans promesses médicales).,Axis focused on nose–brain–organ communication and anticipatory metabolic responses triggered by food-related odors; useful for a 'olfaction & body' section linking molecules/notes to mechanisms (without medical claims).
AX_RECEPTOR_STRUCTURES,olfactory-receptors-cryo-em-or51e2,"Récepteurs olfactifs ‘visibles’ (cryo‑EM, OR51E2, ligand-binding)","Olfactory receptors made visible (cryo‑EM, OR51E2, ligand binding)",Passer du discours ‘notes’ à un modèle récepteur→ligand→signal.,ReceptorExplorer + LigandTables + EvidenceLevels,"Receptor, Ligand, Evidence, Structure",recherches; clics ligands; annotations,"{""keywords"": [""OR51E2"", ""cryo-electron microscopy"", ""odorant receptor""]}","Axe biochimie/biophysique : pages OR (récepteurs), ligands, notes associées, niveau de preuve. Permet de connecter perfumerie, neurosciences et data.","Biochemistry/biophysics axis: receptor pages, ligands, associated notes, evidence levels; bridges perfumery, neuroscience, and data."
AX_CHEMOSIGNALS_EMOTION,chemosignals-positive-emotion-contagion,Chimio‑communication & contagion émotionnelle (y compris positif),Chemical communication & emotional contagion (including positive),Tester l’émotion transmise par odeur (pas seulement le stress).,ProtocolViewer + BodyOdorDataset + InstallationRecipes,"Protocol, Sample, Condition, Outcome",sauvegardes; exports; créations de scènes,"{""keywords"": [""positive emotions"", ""sweat"", ""emotional contagion""]}","Axe sur les signaux chimiques humains et la façon dont un parfum les masque, module ou coexiste. Utile pour déclinaison parfum↔encens↔espace.",Axis on human chemical signals and how fragrance masks/modulates/coexists; ideal for perfume↔incense↔space translations.
AX_ANTHROPOCENE_OLF,anthropocene-olfaction-co2-plastics,"Anthropocène olfactif (CO₂, pollution, signaux trompeurs)","Olfactory Anthropocene (CO₂, pollution, deceptive signals)",L’odeur comme capteur écologique et crise de l’information.,SmellscapeMap + SignalDisruptionCards,"Species, Disruptor, OdorCue, Consequence",clics carte; partages; exports notes terrain,"{""keywords"": [""CO2"", ""pollution plastique"", ""plastique mariné""]}","Axe sur perturbation des systèmes olfactifs chez les espèces et sur les émissions anthropiques (plastique, CO₂) qui faussent les repères.","Axis on olfactory disruption in species and anthropogenic emissions (plastics, CO₂) that distort cues."
AX_SMELLSCAPE_POWER_MEMORY,smellscape-power-distributed-memory,"Smellscapes, pouvoir et mémoire distribuée (art & politique)","Smellscapes, power and distributed memory (art & politics)",Odeurs comme agents de pouvoir et d’archive collective.,ConstellationBuilder + ExhibitionNotes + Bibliography,"Artwork, Smellscape, Memory, Politics",constellations; exports; backlinks,"{""keywords"": [""smellscape"", ""mémoire distribuée"", ""colonialisme""]}",Axe cultural studies : smellscape (Porteous) + pratiques olfactives comme agents politiques. Parfait pour le volet ‘archive / installation / espace’.,Cultural studies axis: smellscapes and olfactory practices as political agents; perfect for archive/installation/space.
AX_REGULATION_SAFETY_ENGINEERING,ifras-standards-allergens-oakmoss,"Régulation & sécurité comme moteur créatif (IFRA, allergènes, QRA)","Regulation & safety as a creativity engine (IFRA, allergens, QRA)",Transformer la contrainte réglementaire en ‘design system’ formulatoire.,RegulatoryLedger + IngredientComplianceBadges,"Ingredient, Restriction, Allergen, Threshold",recherches; exports; vues conformité,"{""keywords"": [""oakmoss"", ""atranol"", ""chloroatranol"", ""IFRA""]}","Axe datifiable et actionnable : pour chaque matière, stocker restrictions, seuils, dates, alternatives et impact olfactif.","Actionable data axis: per ingredient store restrictions, thresholds, dates, alternatives, and olfactory impact."
AX_FORMULATION_TECH,water-based-fragrance-formulation,"Technologies de formulation (aqueux, alcool‑free, micro‑émulsions)","Formulation tech (water-based, alcohol-free, micro-emulsions)","Même accord, trois supports, trois cinétiques de diffusion.",SupportMatrix + FormulationNotes,"Support, Formula, Kinetics, Stability",comparaisons; exports; favoris,"{""keywords"": [""water-based fragrances"", ""formulation science"", ""freshness""]}","Axe formulation orienté usage : intensité vs fraîcheur, stabilité, solubilisation; utile pour ‘proto-labo’ et déclinaisons médium.","Usage-oriented formulation axis: intensity vs freshness, stability, solubilization; ideal for lab-proto and medium translation."
AX_GREEN_EXTRACTION,green-extraction-supercritical-co2,Extraction ‘green’ & fidélité à la matrice (CO₂ supercritique),Green extraction & matrix fidelity (supercritical CO₂),Extraire plus ‘proche plante’ tout en réduisant la dégradation thermique.,ExtractionMethodCards + MaterialOutputs,"ExtractionMethod, RawMaterial, Yield, Profile",clics méthodes; exports; liens matières,"{""keywords"": [""supercritical CO2 extraction"", ""green chemistry""]}","Axe technique pour documenter procédés (CO₂, solvants, circuits fermés), rendements, impacts, profils olfactifs et compatibilité formulation.","Technical axis documenting processes (CO₂, solvents, closed-loop), yields, impacts, olfactory profiles, formulation compatibility."
AX_NATURALITY_STANDARDS,naturality-standards-certifications,"‘Naturalité’ comme terrain critique (Cosmos, ISO 9235/16128, greenwashing)","Naturality as a critical field (Cosmos, ISO 9235/16128, greenwashing)",Rendre lisible les standards: ce que ‘100% naturel’ autorise réellement.,NaturalityComparator + CertificationBadges,"Standard, Certification, AllowedIngredient, Claim",comparaisons; exports; clics standards,"{""keywords"": [""Cosmos Organic"", ""ISO 9235"", ""ISO 16128"", ""natural perfume""]}","Axe utile pour ton site de recherche: stocker standards/certifs, palette autorisée, limites (solvants, bioconversion, % bio) et implications formulatoires.","Axis for your research site: store standards/certs, allowed palettes, constraints (solvents, bioconversion, organic %), and formulation implications."
AX_NEXTGEN_NATURAL_EXTRACTION,nextgen-natural-extraction-firgood-jungleessence,"Captation & extraction next‑gen (FIRGOOD, Jungle Essence, low‑temp realism)","Next-gen capture & extraction (FIRGOOD, Jungle Essence, low-temp realism)","Extraire l’inextractible (fruit, ‘matrices’) + préserver les facettes.",ExtractionTimeline + MethodComparison,"Method, Biomass, EnergyUse, FacetProfile",clics méthodes; exports; liens matières,"{""keywords"": [""Firgood"", ""microwave-assisted"", ""Jungle Essence"", ""low temperature""]}","Axe ‘engineering’ : nouveaux procédés (micro-ondes / eau intrinsèque / extraction douce) et produits hybrides (hydrolats, fractions polaires) pour enrichir la palette.","Engineering axis: new processes (microwave / intrinsic water / gentle extraction) and hybrid outputs (hydrolates, polar fractions) to expand the palette."
