reference_id,title,authors,year,type,venue,doi,url,tags,notes
ref-doi-10-1073-pnas-2424863122,A Vetiver-Specific Terpene Synthase Controls the Production of the Woody Sesquiterpene Cedrol,(voir article),2025,journal-article,PNAS,10.1073/pnas.2424863122,https://doi.org/10.1073/pnas.2424863122,vetiver;cedrol;terpene-synthase;woody;climate-adaptation,Lien direct gène→cedrol; utile pour modèle 'perte/variation de note boisée'.
ref-doi-10-1111-1755-0998-70013,Pan-genome analysis provides insights into the evolution and floral traits of Jasminum sambac,(voir article),2025,journal-article,Molecular Ecology Resources,10.1111/1755-0998.70013,https://doi.org/10.1111/1755-0998.70013,jasmine;jasminum;pan-genome;floral-traits;scent;SV,Pan-genome: idéal pour comparer variétés anciennes vs modernes (pertes/gains de gènes scent).
ref-doi-10-3390-plants14131922,Vanilla planifolia fruit ripening: Integrating transcriptomics and metabolomics to explore vanillin biosynthesis,(voir article),2025,journal-article,Plants (MDPI),10.3390/plants14131922,https://doi.org/10.3390/plants14131922,vanilla;vanillin;transcriptomics;metabolomics;ripening;biosynthesis,Intégration omics pour vanilline: utile pour 'molécules disparues' via terroir/fermentation.
ref-doi-10-1093-jxb-erae098,Chemical and transcriptomic analyses of leaf trichomes from Cistus creticus subsp. creticus reveal the biosynthetic pathways of certain labdane-type diterpenoids and their acetylated forms,"Papanikolaou, A.S.; Papaefthimiou, D.; et al.",2024,journal-article,Journal of Experimental Botany,10.1093/jxb/erae098,https://doi.org/10.1093/jxb/erae098,labdanum;cistus;diterpenes;trichomes;GC-MS;RNA-seq;biosynthesis,Trichomes + RNA-seq + reconstitution en levure: excellent modèle 'résine parfum' + voie complète.
ref-doi-10-1111-nph-19977,Chromosome-level genome assembly of Cananga odorata illuminates scent-related gene expansion,(voir article),2024,journal-article,New Phytologist,10.1111/nph.19977,https://doi.org/10.1111/nph.19977,ylang-ylang;cananga;genome;floral-scent;terpenes;gene-family,Génome + expansion gènes scent/TPS; utile pour un 'atlas ylang-ylang'.
ref-doi-10-1021-cbe-3c00083,Efforts Toward Ambergris Biosynthesis,(voir article),2024,journal-article,Journal of Chemical Education,10.1021/cbe.3c00083,https://doi.org/10.1021/cbe.3c00083,ambergris;ambrein;ambroxan;biosynthesis;teaching;biotech,Synthèse/chemin biosynthétique discuté autour d’ambre gris (ambrein → dérivés odorants).
ref-doi-10-1038-s41598-024-80080-3,Preliminary exploration of the musk biosynthetic mechanism by transcriptomic sequencing in muskrats,"Xu, Z.; Chen, Y.; et al.",2024,journal-article,Scientific Reports,10.1038/s41598-024-80080-3,https://doi.org/10.1038/s41598-024-80080-3,musk;muskrat;transcriptome;biosynthesis;macrocycles,Transcriptomique associée à biosynthèse/maturation du musk (modèle 'matière animale' ↔ omics).
ref-doi-10-1080-14786419-2024-2321496,Rapid analysis of ambergris by thermal desorption gas chromatography mass spectrometry,(voir article),2024,journal-article,Journal of Natural Products Research / Taylor & Francis,10.1080/14786419.2024.2321496,https://doi.org/10.1080/14786419.2024.2321496,ambergris;GC-MS;thermal-desorption;analysis;ambrein,Méthode analytique rapide pour authentification/characterization d’ambre gris.
ref-ttl-transcriptomic-profiling-of-the-floral-fragrance,Transcriptomic profiling of the floral fragrance biosynthesis of Iris germanica,(voir article),2024,journal-article,Plant Communications,,https://www.sciencedirect.com/science/article/pii/S2468014124001559,iris;floral-scent;transcriptome;linalool;omics,Profil volatils + transcriptome; modèle omics pour relier gènes/TF et émission odorante.
ref-doi-10-1016-j-jas-2023-105769,Botanical collections as an opportunity to explore nature through time: an untargeted metabolomic study in historical and modern Nicotiana leaves,"Badillo-Sanchez, D.; et al.",2023,journal-article,Journal of Archaeological Science,10.1016/j.jas.2023.105769,https://doi.org/10.1016/j.jas.2023.105769,herbarium;historical-samples;metabolomics;time-series;lost-molecules,Cas d’école 'molécules disparues' via collections historiques + LC-HRMS non-ciblée.
ref-doi-10-1016-j-gpb-2022-12-005,Genome and evolution analysis of Jasminum sambac provide insights into domestication and floral scent traits,(voir article),2023,journal-article,"Genomics, Proteomics & Bioinformatics",10.1016/j.gpb.2022.12.005,https://doi.org/10.1016/j.gpb.2022.12.005,jasmine;jasminum;genome;domestication;floral-scent;metabolism,Génome + gènes candidats pour traits floraux et fragrance.
ref-doi-10-1038-s41597-023-02849-x,Improved chromosome-level genome assembly of Indian sandalwood (Santalum album),"Zhang, X.; Li, M.; Bian, Z.; et al.",2023,journal-article,Scientific Data,10.1038/s41597-023-02849-x,https://doi.org/10.1038/s41597-023-02849-x,sandalwood;santalum;genome;chromosome-level;resources,Assemblage chromosome-level (Sci Data) — utile pour analyses SV/pangenome.
ref-doi-10-1038-s41467-022-31121-w,Genome-wide exploration of the evolution and terpene biosynthesis of patchouli (Pogostemon cablin),"He, Y.; et al.",2022,journal-article,Nature Communications,10.1038/s41467-022-31121-w,https://doi.org/10.1038/s41467-022-31121-w,patchouli;pogostemon;genome;terpenes;patchoulol;TPS,Génome & gènes terpènes: base pour cartographier chimiotypes patchouli et variétés historiques.
ref-doi-10-1016-j-isci-2022-104574,The Boswellia sacra genome and transcriptome reveal evolutionary adaptations for resin terpenoid biosynthesis,"Jung, S.; et al.",2022,journal-article,iScience,10.1016/j.isci.2022.104574,https://doi.org/10.1016/j.isci.2022.104574,frankincense;boswellia;genome;transcriptome;resin;terpenoids,Génome + transcriptome pour relier biosynthèse résine/terpénoïdes et écologie.
ref-doi-10-1128-mbio-01111-21,"Linking a Gene Cluster to Atranorin, a Major Cortical Substance of Lichen-Forming Fungi",(voir article),2021,journal-article,mBio,10.1128/mBio.01111-21,https://doi.org/10.1128/mBio.01111-21,lichen;atranorin;biosynthetic-gene-cluster;oakmoss;allergens,Exemple fort: cluster → molécule parfumante/biomarker (atranorine).
ref-doi-10-1038-s41438-021-00531-0,Whole-genome resequencing of Osmanthus fragrans provides insights into aroma formation and domestication,(voir article),2021,journal-article,Horticulture Research,10.1038/s41438-021-00531-0,https://doi.org/10.1038/s41438-021-00531-0,osmanthus;resequencing;domestication;aroma;beta-ionone,Resequencing pour relier diversité génétique ↔ arômes/traits horticoles.
ref-doi-10-1093-gigascience-giaa013,Chromosome-scale genome assembly provides insights into the evolution and flavonoid biosynthesis of Aquilaria sinensis (agarwood),"Xu, J.; et al.",2020,journal-article,GigaScience,10.1093/gigascience/giaa013,https://doi.org/10.1093/gigascience/giaa013,agarwood;aquilaria;genome;biosynthesis;conservation;omics,"Génome référence pour agarwood: point d’entrée pour pangenome, SV et gènes de biosynthèse."
