axis_id,source_id,confidence,evidence
AX_OLFACTION_METABOLISM,NEZ_2024_04_07_INSULIN,0.95,GLP‑1 (bulbe olfactif) → signal vers pancréas → insulin release anticipatoire.
AX_RECEPTOR_STRUCTURES,NEZ_2024_01_16_RECEPTORS_STRUCTURE_EN,0.9,Cryo‑EM & structure OR (OR51E2) ; modèle récepteur→ligand.
AX_RECEPTOR_STRUCTURES,EXT_PDB_8F76_OR51E2,0.85,Ref externe structure OR51E2 ; utile pour pages 'receptor'.
AX_CHEMOSIGNALS_EMOTION,NEZ_2023_12_28_POSITIVE_EMOTIONS_FR,0.95,Protocol: sueur émotion positive → tests physio/comportement.
AX_CHEMOSIGNALS_EMOTION,NEZ_2023_12_28_POSITIVE_EMOTIONS_EN,0.9,Version EN pour site bilingue.
AX_ANTHROPOCENE_OLF,NEZ_2024_03_26_ANIMAL_NOSES_FR,0.95,CO₂ + pollution plastique → perturbation des repères olfactifs chez espèces.
AX_SMELLSCAPE_POWER_MEMORY,NEZ_2024_07_12_CIHA_SMELLSCAPE_FR,0.9,Smellscape comme agent de pouvoir + mémoire distribuée.
AX_REGULATION_SAFETY_ENGINEERING,NEZ_2024_12_19_OAKMOSS_IFRA_EN,0.95,Atranol/chloroatranol : restriction & preuve scientifique IFRA.
AX_FORMULATION_TECH,NEZ_2025_07_21_EUROFRAGANCE_EN,0.85,Formulation science → fragrances aqueuses & nouvelles pratiques.
AX_GREEN_EXTRACTION,NEZ_2020_09_21_CO2_EXTRACTION_EN,0.85,CO₂ supercritique : fidélité matrice + green chemistry + limites.
AX_NATURALITY_STANDARDS,NEZ_2021_06_09_NATURAL_DEFINITIONS_EN,0.95,Comparatif Cosmos/ISO et palettes autorisées; naturalité non-univoque.
AX_NEXTGEN_NATURAL_EXTRACTION,NEZ_2023_05_18_FIRMENICH_FIRGOOD_EN,0.9,"Procédé FIRGOOD: micro-ondes, eau intrinsèque, moins de solvants."
AX_NEXTGEN_NATURAL_EXTRACTION,NEZ_2020_06_04_JUNGLE_ESSENCE_EN,0.85,Extraction basse T° -> facettes plus complètes; rend possible fruits.
