Auteur,Application Perfumeum,Idée clé,Statut,Titre,Type
Alain Corbin,Chapitre mémoire 2,L’odeur comme marqueur moral,✅,Le miasme et la jonquille,Livre
Annick Le Guérer,Chapitre mémoire 1,L’odorat = émotion et mémoire,⏳,Les pouvoirs de l’odeur,Livre
Clara Muller,Chapitre mémoire 3,Scénographie sensorielle,📘,Les dispositifs olfactifs au musée,Article
Gernot Böhme,Fondement théorique,Théorie des atmosphères comme catégorie esthétique,✅,Atmosphäre,Livre
Jim Drobnick,Chapitre mémoire 2,Arts olfactifs et culture sensorielle,⏳,The Smell Culture Reader,Anthologie
Sissel Tolaas,Méthodologie terrain,Cartographie olfactive urbaine,📘,Smell RE_searchLab,Projet de recherche
Maurice Merleau-Ponty,Chapitre mémoire 1,Corps percevant et perception incarnée,✅,Phénoménologie de la perception,Livre
David Howes,Cadre anthropologique,Anthropologie des sens,⏳,Sensual Relations,Livre
Dominique Roques,Sourcing matières,Matières premières et terroirs olfactifs,⏳,Le parfum de l'origine,Livre
Jacques Derrida,Chapitre mémoire 3,Impossibilité et nécessité de l'archive,📘,Mal d'archive,Essai
